,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
99030,0.018576515107215,0.571282429045668,0.0760955291129542,0.769731986319619,0.356535296683294,0.821759123703557,0.131268893442483,0.851468697097722,0.925349702712024,0.322463286145577
88377,0.716348226675955,0.2616929254018,0.652663312315696,0.267986064426037,0.599918152933723,0.636861186437832,0.460953681247558,0.995797789862602,0.244728763010718,0.783148058432752
138395,0.078193228275817,0.477281484814327,0.619732307285267,0.166194244878682,0.996071420301901,0.494930687751015,0.64628237676711,0.897437535947539,0.745898243222063,0.124246595645733
197301,0.575350627590145,0.409487784448432,0.597548099217804,0.296381033594052,0.375652283248846,0.810059869243161,0.0864607827737882,0.765821095489634,0.557856186884564,0.306868055006341
90611,0.331279709873504,0.34205901299692,0.158965237558042,0.630752726684477,0.309682761019415,0.608539558615704,0.0359516697415846,0.807087967527129,0.985670129818953,0.761576730473691
148951,0.392835667623362,0.684956580370141,0.02780555847666,0.615297276304255,0.943779536565315,0.18864509354526,0.626083263467856,0.000155381728259882,0.934774963011945,0.213250314250044
88392,0.725540467579719,0.821586491499762,0.778073165458415,0.136370358645081,0.123203870044877,0.230990555045241,0.568808848526987,0.183986608847762,0.706032525351914,0.683343171531155
6965,0.0181352193374268,0.618146372722579,0.308909913610436,0.608995757032488,0.218942663790886,0.861757095861686,0.321650661373869,0.730599695489328,0.709096062414407,0.71692051190035
187642,0.0646666364844479,0.679721701889405,0.239753970786304,0.555515839034687,0.723396230232888,0.0841895142935966,0.957394692590621,0.389243528147472,0.716900128040874,0.958657025685143
78674,0.216536374872314,0.394511065714255,0.914259617133557,0.0371983787315122,0.375206625577896,0.881987873725261,0.307690504880218,0.964476634596804,0.56318430920378,0.608944402195021
117200,0.44901531119886,0.64814899957501,0.484676477747712,0.473544342058507,0.0373589694560288,0.414693656574522,0.587471283107102,0.253871922637795,0.665828437873354,0.927280385086982
155344,0.0847115662875454,0.981563019248555,0.331981391645298,0.512717011402683,0.263295385665757,0.383916022056939,0.460457668417534,0.195714867066542,0.769036222441284,0.288703918235091
82029,0.267183714014329,0.489097908591691,0.897988804441492,0.085877567353822,0.332171126110634,0.638246312529937,0.673247414892488,0.772522815713217,0.469179797280021,0.177202216893665
138397,0.386382589559702,0.490261257907674,0.283338011710285,0.466322637884858,0.590844075336825,0.0188662257580075,0.325902392603652,0.969520690241098,0.928332862699826,0.595765511705046
62485,0.717774134536307,0.966168486454798,0.425868007819252,0.366590429568941,0.167359198745779,0.0321524539374094,0.582521053388945,0.181024961764903,0.640502158708973,0.484788609343025
136046,0.729164973905578,0.0961518641572777,0.367780271210158,0.435206898834497,0.734393713971825,0.83672180988364,0.290666786156048,0.826141039698414,0.526712197451872,0.402915505781673
101215,0.339013170936811,0.468559134586977,0.474172614653346,0.46604682012157,0.394311124291087,0.606128423016757,0.500950658398077,0.499666481106764,0.744239630894084,0.896717457193292
19844,0.310490738107936,0.605595132287149,0.0873291390282769,0.674837362486408,0.478603454321096,0.165714800422528,0.998010765759289,0.0645416698588446,0.705417723146372,0.338015342328146
29796,0.716939100122338,0.19719484667387,0.792349783079393,0.0918334866479872,0.324774523192004,0.832743385947381,0.0948953872513371,0.579785313891788,0.632386866024547,0.851263961606533
19817,0.633650698905114,0.275198572657691,0.67955307091164,0.253680012924034,0.526155558744141,0.498999220763191,0.579905681720768,0.777357521668855,0.507017485827902,0.669003122293292
19527,0.592650854812727,0.126016864106782,0.102472726804229,0.674175685572411,0.136789341387885,0.84323078275015,0.426004659633755,0.949997638831049,0.541901658049023,0.349200169863546
129845,0.380437777237839,0.661659385496487,0.681804930172665,0.176621625830596,0.915667721102226,0.799262041530655,0.462187863414138,0.896283399969793,0.184917279141404,0.22875411885696
126295,0.341896300203182,0.709271720617791,0.774812896755726,0.149570656326641,0.260934703179242,0.843848716799531,0.289839385138019,0.632802415275652,0.438459719220901,0.153951766298452
177631,0.505715568003188,0.145889705752359,0.327743705255116,0.471360208999082,0.549419881672533,0.791009572010242,0.0554499869658478,0.847007706613989,0.851278128218071,0.0904574427885012
69348,0.259390441994532,0.916459923272201,0.414460508894412,0.433751075586867,0.578499889512159,0.394449317340362,0.495540187835401,0.277257833444813,0.695653944604459,0.958255146979965
162623,0.559666399171282,0.362667756381679,0.635825664536136,0.294809504877091,0.0680524715174217,0.663850166213277,0.0494043574284131,0.930950214619386,0.595291038794394,0.747730743948769
76543,0.488115548193645,0.54774239910762,0.71412011468087,0.190645235706667,0.902768375611839,0.569133251371529,0.77412565951553,0.704721025249918,0.241722555023591,0.653272978569695
28122,0.0826788361014095,0.674033229356332,0.0748128236456089,0.723614897007052,0.405086616611221,0.626516846481079,0.170618196626594,0.821209207383952,0.85912994935018,0.0436241713560756
20259,0.359058796660872,0.618347355280371,0.776121447877499,0.267046420380271,0.138177346657334,0.912744628838204,0.600941627533952,0.80784913834081,0.0923791373122521,0.120379607364448
220575,0.328435802805751,0.297210224857636,0.102729989322173,0.657810525752067,0.488923864232731,0.496996865837901,0.499630549226047,0.83624989473424,0.746442562622999,0.843419378280087
102057,0.0992970409585956,0.823018788516306,0.494247622545916,0.358081758092164,0.583883379428547,0.350647793130376,0.726686019372006,0.584652815133673,0.49818226435248,0.43741148204367
195263,0.389558675398666,0.838364292877311,0.459939140489933,0.346617082686357,0.942970710399895,0.0459127997631549,0.862552521409711,0.399653021568607,0.636399554736176,0.392654081577663
204468,0.0999323813346265,0.378839936487837,0.421756904951121,0.549352628240797,0.392083255961162,0.645122838070458,0.983936544204129,0.93236433803724,0.490332588004304,0.213431367066455
188407,0.462734467170946,0.316555732036286,0.781772783949155,0.115010224396359,0.823725315002012,0.656971018603291,0.506289791708115,0.486012454822608,0.838969658927651,0.847417964289082
25202,0.491314720304338,0.377117577388166,0.987968127708634,0.063042722651728,0.148588561318307,0.694671330193221,0.72124609879903,0.55983780404675,0.474922696527913,0.636996835851617
213748,0.3586876941733,0.888070557797042,0.627982841606522,0.31209276628295,0.195057169728562,0.482440143497398,0.774748647116874,0.403045041039005,0.234856505999582,0.196696913676736
51834,0.172525406040265,0.534709448551822,0.584553685159412,0.375812057864499,0.392708277026344,0.650518317900173,0.768767624333366,0.732448040478635,0.456237352888654,0.272694133644896
214603,0.619248054153796,0.359585102324235,0.789223870557899,0.075785967954061,0.684102955637425,0.648340792297747,0.189618719660099,0.684392178294768,0.697904166525623,0.237408841809612
188069,0.141707271307864,0.862114440543051,0.543921238591844,0.408522971778894,0.133166792982397,0.433763116801326,0.755541484892693,0.43649385486693,0.407694905871203,0.479683197382871
25792,0.124832404396072,0.746432260586695,0.963000699139582,0.056693621153111,0.0736931915084071,0.653641258625309,0.72873327334156,0.559327608806902,0.486859894384226,0.128457091741611
104666,0.0322470669272043,0.88119596381555,0.415281013011485,0.349726634243767,0.725009287776435,0.232398380980449,0.838629589515045,0.785022530664324,0.316194284373335,0.0198141039821848
103356,0.759430998810754,0.51572352932606,0.644962733176804,0.221158282007827,0.412200692266933,0.787408138748528,0.00319258942800095,0.95958011635818,0.204254936426753,0.92128600528595
140707,0.34717153848626,0.729967129673323,0.531662729623579,0.252415667804498,0.782065358504677,0.0947452607349893,0.387200635644078,0.90705483609748,0.754924943924564,0.292474218914117
88778,0.325265479082214,0.612278291449153,0.656058289406275,0.30082506905446,0.81362403671978,0.883682845137394,0.77849095651893,0.722655940713135,0.146740734287421,0.379857973241853
3592,0.0621775551781623,0.925304310989587,0.54608377305164,0.327147920683643,0.678157802235769,0.514168633601639,0.705537099332099,0.271967443126209,0.636728746571594,0.97317301307037
209538,0.357031793061368,0.877998536456394,0.477838368062603,0.377545730218904,0.370781520439423,0.532907973184245,0.273471272214576,0.0700871960680361,0.941067598825631,0.501846063269057
78998,0.13083406899164,0.87739149446309,0.802504407265867,0.194117031642712,0.102231282666871,0.7065405327926,0.770460557416939,0.543233798488814,0.185075580239939,0.171955945098961
186371,0.0214423537403825,0.739069558475559,0.730242944053979,0.303925382416119,0.113866135694586,0.568007620438632,0.78830228021041,0.598187887576034,0.458943193083183,0.506271159365033
14156,0.0308360090462681,0.325948769498838,0.218857248711278,0.561035763091755,0.913866738353538,0.79524960356773,0.378568640737476,0.793414666250315,0.986491325365345,0.808854434730149
91252,0.355799036206762,0.183370663520596,0.941808290363849,0.0554502893909799,0.853992225749446,0.837313007294139,0.881197095354527,0.83736004291959,0.472559472219323,0.865804940120656
129589,0.303603881714665,0.655776045170485,0.823093698444433,0.111383872426877,0.284592077174645,0.713624826684415,0.328174356707198,0.456152129263333,0.786226829289808,0.61395710986166
31307,0.572192403502312,0.936731204284971,0.753043451164426,0.0962965671959378,0.562536730675258,0.624256545464092,0.227370125849024,0.209058318733567,0.717924947355161,0.86193372995008
232762,0.424830794141056,0.641723595023298,0.572292836939616,0.265164268193999,0.977636059710457,0.603468554678796,0.48178816714453,0.673223612733377,0.442533032308459,0.748276097100432
67525,0.110641658826603,0.465389799270647,0.19201497707796,0.563588708556856,0.901845999971934,0.490374376739043,0.9602074006306,0.502239090957795,0.658879007529405,0.666604641701545
203339,0.259664727834539,0.957993059897032,0.282514905507192,0.546010353733423,0.242320924027731,0.25085513704982,0.575595669017972,0.224736168127758,0.609418520769508,0.490311924962699
155463,0.478186528329117,0.637359713490517,0.805226205304379,0.186687572598475,0.52623840057163,0.295144894863159,0.97609640026577,0.283838543920228,0.696956209014293,0.497926369863091
42545,0.370890158189458,0.641448735310587,0.675090273529213,0.340902446165458,0.144746746822028,0.371586481335737,0.79996766861546,0.414939046302972,0.585505881955005,0.422566024569499
151003,0.0547215047117427,0.714375090104889,0.244533801919981,0.569130327890292,0.780358554226437,0.833050119835792,0.498602278615136,0.36549868854729,0.69307049824989,0.645262854009084
83496,0.587395033767048,0.393561750282214,0.822169976853135,0.0322692924891098,0.97436580858873,0.786069829083146,0.449219124005281,0.473673851217826,0.582968358156617,0.0925581776577988
