,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
0,0.804896844721987,0.616703640770361,0.700913590647307,0.144069660247111,0.787703544345511,0.984517959177195,0.187360774817457,0.53258023065176,0.10530187994827,0.561776163974052
1778,0.432454856873533,0.960152060610736,0.385642280129234,0.474843035210192,0.467672845595429,0.332987497932418,0.539029309951725,0.26328551809995,0.492790857711517,0.236233353117019
1469,0.553657556552,0.731305191683469,0.129352430267804,0.618279326701905,0.0289074222258121,0.503140092192384,0.412773346335355,0.90233432391655,0.214118687189404,0.175757673510104
1556,0.710838845536524,0.93872126981399,0.48239371780664,0.267830149887394,0.942289643187707,0.41606900431917,0.16913881352082,0.401729206766531,0.543235590529638,0.823152016730391
4273,0.237659101773085,0.508397748932165,0.895978663886026,0.134621240232003,0.574137500550134,0.707450591337026,0.850138314460582,0.120590683828559,0.877536312232417,0.762377621975986
17,0.33765755913838,0.610429017943302,0.310108626826514,0.580928480851181,0.237740111378704,0.860382259901092,0.334246134233612,0.0597355073168354,0.740771979170749,0.868881942126378
1998,0.489707376150477,0.907932132837884,0.282657787342698,0.475564988576476,0.303444968934841,0.654024401305537,0.0492215338712996,0.99050964735914,0.261364730129467,0.534535539314027
1138,0.849365969000282,0.940144648384115,0.121863524932679,0.563496231413958,0.82939153688448,0.362611421756513,0.781293440601622,0.315294732646185,0.0504678311954532,0.333097319784597
1049,0.687476218780144,0.298209960688049,0.725856019832253,0.263047530587092,0.175141853583218,0.453765349051547,0.910551771998268,0.80446317811151,0.218933593622028,0.113105554885167
2095,0.753390312867822,0.177161734010451,0.0850258077508198,0.582784759259784,0.00660616676438941,0.480252843379999,0.101607062214496,0.775877424922613,0.886974315992494,0.402962520531266
113,0.371540121028798,0.687117059997788,0.470386299940921,0.47662127636989,0.559272914879185,0.678352556897751,0.912328296690031,0.592948153190583,0.0902705949146827,0.0330969051914511
359,0.971137384329833,0.640554943680111,0.261581790843787,0.420628925889915,0.448023938205412,0.100353887509738,0.424084381715149,0.853113671843868,0.366389378013529,0.881344039937259
93,0.730278944081715,0.216377037627753,0.256251064364021,0.57319227333498,0.00904806229520326,0.89359106569511,0.778407837095346,0.19832241560535,0.48347638561217,0.146237826770546
4821,0.781451905661677,0.837703357168203,0.758740718507502,0.154477431990797,0.33822031246126,0.617290192690895,0.14529719494528,0.326780099642554,0.592506880174784,0.0342425411984231
519,0.236130008075288,0.797999061399637,0.596835774852108,0.239834039040518,0.865705864272358,0.74683062109682,0.429310463281682,0.704770373281525,0.356076419008896,0.632584652635399
31,0.442246715263753,0.666819574674189,0.61367518291251,0.355565734801437,0.153189176404653,0.394656937062604,0.819931321435625,0.198803892367588,0.4577582178451,0.963077104788459
1775,0.632354475803093,0.710722803154932,0.113595038477143,0.609005025033307,0.434991003958416,0.113832014596478,0.273525835443433,0.512292622588113,0.843549765136512,0.217306986423521
6498,0.694642509299388,0.100291992564684,0.01917901407676,0.658651512946431,0.688916191434349,0.626157975462135,0.761475407612682,0.667362067505422,0.557518081595594,0.566040960197033
559,0.545810751462712,0.0935775727170629,0.8592483668274,0.141803811345838,0.0960426128338979,0.88440745776677,0.317065165357502,0.536149919509148,0.84252246587374,0.553224154114737
12,0.660374611284853,0.0321212464667903,0.421396194439192,0.359508641781797,0.704651804328506,0.639931893737362,0.112011395264485,0.973314787159053,0.81326849885901,0.0744816953607053
1128,0.739320911067581,0.958449437048231,0.680648711691787,0.117824105521032,0.783970056936799,0.295888058655207,0.492103418461,0.814130277127052,0.0180973189380154,0.141072391736568
30,0.359509535488952,0.970201459897583,0.0752222202465332,0.68306081043208,0.0899060599434813,0.448193467625628,0.4983993031054,0.797020013901275,0.0771328244592418,0.991681289743011
5597,0.661422308266096,0.457573268348172,0.984514516002899,0.00620045321836126,0.883282812521414,0.988304142365695,0.714016337365178,0.378048140275098,0.105057094259014,0.572624607152431
3,0.110204608017705,0.929425752700123,0.206873766914119,0.601830942181805,0.783982110519213,0.576873507436653,0.81244818373871,0.214292407744999,0.334908370936509,0.973846714224356
588,0.216276419795669,0.504391652830799,0.655171290346721,0.372751783926123,0.107955584496611,0.343161949951702,0.668115402691305,0.579487618585654,0.856384190378142,0.0334160745689672
