,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
26338,0.598831752205813,0.211377275298515,0.856332668110597,0.962094774347868,0.87996815115177,0.585341792452967
28587,0.794438696629014,0.139365107925725,0.47650309623161,0.988108229701202,0.718967652375962,0.409213936630479
25287,0.670296878155455,0.238337966520257,0.611329874148964,0.896156783454167,0.823610868294552,0.522231999193287
29397,0.624951321166402,0.37158892264047,0.278455165001883,0.95478675557169,0.748343273509589,0.674744685975046
1398,0.793935698210187,0.206161657584007,0.0925777092856298,0.887697446336245,0.93752070957652,0.408892938118946
35159,0.642995398673802,0.37790793540405,0.108223513295646,0.904324477811197,0.806091412142986,0.703384365885152
34708,0.830050152740549,0.11350829233653,0.529919893221204,0.830919180955379,0.731882581589215,0.807667864670736
10311,0.792147652163063,0.233748621076839,0.151142858510384,0.888834896011609,0.70958216925839,0.924967450988664
28323,0.813974996857462,0.167768698867447,0.342393425395491,0.86054907644061,0.826464894994724,0.582527338932308
22913,0.83548251480116,0.165808784215621,0.165485729375915,0.776615245779095,0.975082870941202,0.649411332991304
33829,0.65750564585956,0.365286811980058,0.174449297931511,0.949020801698114,0.68449822568001,0.906635591394113
18749,0.789379376612689,0.100010059722164,0.609136317621221,0.924526658660009,0.768306990078068,0.435189911861408
2753,0.700837626587635,0.314819189958333,0.131905308522793,0.909533080944597,0.874810353713627,0.425458555687057
25548,0.681978261190743,0.168426437187725,0.759968742113436,0.740443708892117,0.913812195722773,0.791690185355788
15016,0.585156425023205,0.262749609589496,0.76945528515186,0.924731052525046,0.946688640680948,0.518552386670948
33250,0.768191421810562,0.226859688832892,0.248761477031338,0.894121596968483,0.783808585241479,0.574604772868073
25640,0.698093343917777,0.280442006424309,0.36388922277501,0.918676941174082,0.977956257953607,0.213312088678449
9448,0.707412145213828,0.315660842553873,0.0116180756892582,0.855539606588716,0.868798845337149,0.639898457886733
31846,0.894938039323229,0.0266095378396555,0.458008046033683,0.824829903040819,0.855235173852701,0.655195454677694
21244,0.618469654208969,0.348527113738985,0.464524350288262,0.86490908304348,0.746753518638007,0.984625016643218
25869,0.738500526349043,0.272171502405507,0.252156550636239,0.800530535473561,0.859495164988238,0.740118643796648
4504,0.675598808984734,0.267541456504356,0.5500133579737,0.754560046295038,0.980076626724225,0.625670405459937
33570,0.64408998875157,0.360491774132693,0.127093827493988,0.939815165810225,0.797429823454322,0.528405704542081
7754,0.888659594087639,0.079407967851544,0.162892895751507,0.760132301754223,0.979492487068186,0.769952138140312
37308,0.66309689871368,0.262149813378471,0.658460697200354,0.98927401022474,0.893210221077984,0.309767770505811
33211,0.500704440945134,0.405193727979651,0.406606863054691,0.785142494545768,0.88994002165874,0.998134068431877
32295,0.793702979198421,0.187729283846506,0.280982088318332,0.961010521888601,0.661421236971572,0.635246446273086
714,0.83115523786293,0.14433165542385,0.335879375912104,0.980610409934446,0.707484439750836,0.554159992086139
4660,0.697949899652235,0.346274035763561,0.0719081921718288,0.942335509231567,0.688791434071774,0.981517893421265
19054,0.639520487300292,0.37611157685007,0.133558557258626,0.805910228311871,0.875906767825563,0.819464668327422
26688,0.679569605468967,0.0672716538379372,0.976109767206896,0.89917389863203,0.756461840496551,0.923548579713603
20729,0.552033476932065,0.377029710541692,0.473117608299565,0.919208460621555,0.978611380515033,0.374719787872927
30018,0.823046499320221,0.06741717687971,0.738444074273247,0.954922667464474,0.913681191726061,0.363847279672998
27023,0.83744070964474,0.0747393081366521,0.692080221546339,0.737071129527891,0.942201829851639,0.744710210738495
38626,0.904667624476374,0.0506830268572323,0.0568090712670055,0.904813808762902,0.754676000797846,0.876717150590725
13453,0.704971225108926,0.233908193876511,0.480278934262921,0.935798273542221,0.834407131774768,0.345179811304568
20656,0.889288589889389,0.042817079145085,0.439262697734569,0.932286798983809,0.911918738495765,0.43189076480794
19313,0.845566373296378,0.189261020557362,0.116701049460886,0.98276172411114,0.901535446014935,0.485610081522242
