,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
299,0.650891231401568,0.119030705220211,0.93176900722597,0.9658946867988929,0.786069588902629,0.7041312179459259
167,0.56085796950514,0.352372051935248,0.446694332503323,0.805556188074153,0.9353061098926021,0.565642834378925
548,0.768191421810562,0.22685968883289198,0.24876147703133802,0.8941215969684829,0.783808585241479,0.574604772868073
238,0.615008506667735,0.187813243987121,0.8304739988334979,0.9358205205130992,0.9386561027926709,0.414685204965832
411,0.7049712251089258,0.23390819387651102,0.480278934262921,0.9357982735422209,0.8344071317747679,0.345179811304568
274,0.639520487300292,0.37611157685006996,0.133558557258626,0.805910228311871,0.875906767825563,0.819464668327422
345,0.6763990558579399,0.348991511341355,0.0384773772407606,0.9482748788688872,0.865362685250827,0.46371570767263504
676,0.830050152740549,0.11350829233653,0.529919893221204,0.830919180955379,0.7318825815892149,0.8076678646707359
724,0.858792442557379,0.15133040920934,0.16549798623766399,0.7070628306663679,0.951109794147614,0.87074950957927
427,0.71406972288706,0.176175058058153,0.7588707751232171,0.986701039266513,0.5557409266177529,0.8582456834095341
398,0.6979498996522349,0.34627403576356103,0.0719081921718288,0.9423355092315671,0.6887914340717739,0.981517893421265
128,0.52232363247197,0.33576596401791803,0.607714101915765,0.989733285991003,0.763524565624758,0.6081112082626129
690,0.8374407096447399,0.0747393081366521,0.692080221546339,0.737071129527891,0.942201829851639,0.744710210738495
292,0.6485424476908511,0.30316853113042197,0.466288843268113,0.677188584712582,0.929528797683063,0.9073693194895892
107,0.48708882920726704,0.378913322291267,0.509636501401201,0.8515293957191751,0.8359240760766031,0.9507722970765521
668,0.8262108784856871,0.205710254626746,0.374181721890429,0.94462566216462,0.647294815583311,0.981262989032442
536,0.760635701957376,0.132642120683055,0.645857340019237,0.982471887950221,0.649101026353739,0.5833856809784761
755,0.8893923361818821,0.0792692122117247,0.40108879510981393,0.7312094767340942,0.862387800619192,0.9953877948118391
371,0.686020513633153,0.18618404294951602,0.8545050156293579,0.813229719346385,0.9338252246228841,0.814672316580226
125,0.5175757814666591,0.45078568457757,0.181905728359738,0.879724555181268,0.9873894359039141,0.447122388131159
340,0.6744103727646539,0.137655910868768,0.707636154229773,0.9842583296256259,0.865047520234103,0.0430420192579604
377,0.6904613136580611,0.29613687768085806,0.246612429132647,0.672744559129007,0.9995075583211399,0.6712242178110811
756,0.8905590950231891,0.0846015590804716,0.0772301983608064,0.9542343430905749,0.937630099732468,0.499850200408376
103,0.478293794156818,0.436308948291871,0.00538886727355739,0.991180871153638,0.9258693902386451,0.0473049030203168
775,0.9098088857626879,0.047306424397580996,0.14989610095339098,0.9399946585378599,0.741436514697642,0.807713701991367
