,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
0,0.7178,0.7079,0.1515,0.2452,0.4915,0.5682,0.3391,0.3383,0.9992,0.2544
1,0.23,0.5587,0.4739,0.0977,0.8785,0.1858,0.8445,0.7921,0.186,0.7373
2,0.2089,0.6313,0.826,0.5915,0.549,0.6386,0.6353,0.106,0.4997,0.1533
3,0.1431,0.2773,0.5612,0.2925,0.5284,0.3078,0.2294,0.2192,0.6445,0.9597
4,0.5614,0.5931,0.2783,0.5882,0.7803,0.6034,0.4783,0.417,0.7028,0.0146
5,0.5812,0.8531,0.3588,0.0369,0.2067,0.3544,0.991,0.3703,0.8499,0.823
6,0.9088,0.9089,0.5015,0.9167,0.3312,0.1418,0.7593,0.7778,0.8141,0.1363
7,0.9498,0.9658,0.928,0.2139,0.1901,0.0565,0.0273,0.4487,0.2901,0.1958
8,0.7902,0.0896,0.2853,0.7172,0.7379,0.7053,0.5757,0.7853,0.1823,0.373
9,0.5773,0.9632,0.6317,0.1302,0.5935,0.8561,0.6503,0.0291,0.8854,0.5165
10,0.8742,0.4895,0.0645,0.5006,0.6057,0.3634,0.3777,0.99,0.6951,0.5328
11,0.4682,0.0904,0.7211,0.7301,0.708,0.097,0.2487,0.3214,0.6694,0.9789
12,0.4086,0.1598,0.1865,0.5418,0.1463,0.0493,0.5891,0.7724,0.535,0.4064
13,0.2221,0.3089,0.4895,0.633,0.9618,0.915,0.7715,0.0486,0.6749,0.5879
14,0.7318,0.1832,0.579,0.9728,0.1557,0.2079,0.1194,0.8444,0.4351,0.5654
15,0.5394,0.7105,0.2403,0.28,0.873,0.7455,0.4292,0.7393,0.9182,0.5718
16,0.0048,0.8676,0.459,0.6283,0.105,0.4392,0.4965,0.1163,0.5378,0.2981
17,0.6076,0.839,0.8948,0.7412,0.8134,0.7984,0.873,0.8383,0.5078,0.6582
18,0.9392,0.6484,0.3623,0.8668,0.5798,0.2752,0.6188,0.8081,0.309,0.2392
19,0.4404,0.7805,0.095,0.6728,0.7933,0.4602,0.6635,0.003,0.6276,0.3071
20,0.5529,0.12,0.5871,0.9753,0.6908,0.8257,0.0623,0.6258,0.6515,0.7615
21,0.683,0.5191,0.1728,0.0001,0.9309,0.7205,0.4892,0.6069,0.1328,0.447
22,0.0492,0.0662,0.6158,0.1025,0.2284,0.8833,0.1549,0.2091,0.7529,0.5603
23,0.1706,0.7941,0.347,0.5728,0.0854,0.5006,0.7,0.4045,0.2188,0.3412
24,0.8606,0.3625,0.6847,0.366,0.1169,0.7937,0.7825,0.9138,0.2757,0.144
25,0.7795,0.7985,0.0816,0.6144,0.9396,0.9511,0.1354,0.4346,0.7253,0.4419
26,0.9283,0.7006,0.3144,0.1409,0.9516,0.7122,0.7453,0.1241,0.2084,0.4015
27,0.2415,0.3459,0.5953,0.5813,0.8832,0.0397,0.7283,0.6541,0.4601,0.0957
28,0.8291,0.225,0.9748,0.8921,0.6592,0.172,0.0323,0.9535,0.2206,0.3975
29,0.8033,0.3531,0.4365,0.1585,0.1748,0.7162,0.9333,0.4119,0.1109,0.4207
30,0.8082,0.4525,0.2612,0.4021,0.6209,0.0802,0.5475,0.2512,0.8518,0.0316
31,0.3683,0.5263,0.0565,0.1121,0.4356,0.9747,0.2046,0.8724,0.3458,0.0894
32,0.4854,0.408,0.543,0.224,0.6899,0.7639,0.5986,0.9266,0.5448,0.2403
33,0.8891,0.7253,0.0655,0.6247,0.2788,0.9963,0.7331,0.3785,0.047,1.0
34,0.544,0.0379,0.9227,0.9389,0.9897,0.2866,0.2661,0.7585,0.08,0.5842
35,0.0052,0.3998,0.4319,0.7251,0.1332,0.7022,0.4443,0.0981,0.3337,0.7568
36,0.2377,0.2042,0.8493,0.016,0.7631,0.8443,0.808,0.2435,0.3245,0.214
37,0.1213,0.3882,0.9008,0.4898,0.6515,0.3902,0.9204,0.1029,0.3838,0.4666
38,0.6746,0.3397,0.6728,0.5673,0.4128,0.41,0.3988,0.0177,0.6934,0.0272
39,0.0289,0.0158,0.3504,0.3987,0.8606,0.5485,0.3863,0.4938,0.4572,0.8311
40,0.3771,0.6656,0.7811,0.0275,0.399,0.7397,0.6935,0.2804,0.8785,0.1736
41,0.6334,0.6547,0.5589,0.6771,0.4745,0.5852,0.9476,0.0359,0.9315,0.6238
42,0.4952,0.809,0.6693,0.6848,0.8088,0.2829,0.9117,0.7402,0.6128,0.5953
43,0.162,0.4396,0.5694,0.4256,0.8319,0.8139,0.3616,0.5209,0.3758,0.1293
44,0.0744,0.6371,0.8789,0.4626,0.257,0.7434,0.5928,0.8638,0.6088,0.7689
45,0.1786,0.6428,0.8689,0.539,0.7473,0.2103,0.8349,0.547,0.2509,0.2722
46,0.3093,0.3746,0.4439,0.0601,0.6617,0.4551,0.9029,0.9423,0.4209,0.1667
47,0.9164,0.3211,0.1828,0.2655,0.5962,0.1296,0.9258,0.7461,0.8987,0.6886
48,0.6462,0.6713,0.3185,0.4569,0.4235,0.1002,0.4204,0.9206,0.9113,0.2574
49,0.1458,0.0243,0.0259,0.1882,0.1835,0.6269,0.1971,0.7332,0.0717,0.4589
50,0.7642,0.9419,0.0071,0.9954,0.0524,0.041,0.1908,0.2859,0.9711,0.3622
51,0.3529,0.621,0.7906,0.8505,0.2914,0.1803,0.0082,0.0814,0.0262,0.8082
52,0.666,0.1459,0.2463,0.9447,0.2004,0.8696,0.9757,0.6715,0.075,0.4875
53,0.279,0.9332,0.7615,0.8996,0.3084,0.5602,0.9155,0.7988,0.7861,0.9278
54,0.4917,0.461,0.7757,0.4438,0.9189,0.6488,0.7919,0.1543,0.4256,0.1003
55,0.9985,0.9247,0.2093,0.4233,0.5894,0.9639,0.818,0.3335,0.2282,0.9053
56,0.6216,0.9945,0.4694,0.0307,0.5834,0.8195,0.5737,0.4694,0.881,0.2158
57,0.8785,0.286,0.8327,0.7799,0.2998,0.7273,0.74,0.6881,0.9001,0.9545
58,0.3003,0.5523,0.6136,0.3937,0.7434,0.8037,0.0718,0.5802,0.8088,0.0559
59,0.3638,0.0105,0.2166,0.2364,0.0145,0.2558,0.0662,0.0689,0.3929,0.4986
60,0.7015,0.1641,0.9638,0.6896,0.1521,0.3895,0.6206,0.9486,0.985,0.0074
61,0.9893,0.3658,0.514,0.2507,0.6156,0.251,0.2327,0.5514,0.3419,0.1145
62,0.4228,0.7497,0.807,0.1242,0.8655,0.1922,0.0036,0.5593,0.6499,0.8627
63,0.2718,0.327,0.8019,0.9577,0.4073,0.265,0.7776,0.5608,0.2352,0.6085
64,0.5596,0.5647,0.525,0.8786,0.7262,0.6573,0.4349,0.5862,0.6647,0.8419
65,0.7574,0.4038,0.4201,0.8873,0.8479,0.4039,0.9839,0.1309,0.3252,0.6632
66,0.3238,0.7239,0.2914,0.1451,0.0949,0.5221,0.0773,0.0405,0.7329,0.1069
67,0.1831,0.9987,0.7859,0.2643,0.374,0.1777,0.143,0.3856,0.0657,0.6307
68,0.3271,0.447,0.9832,0.8407,0.9439,0.5766,0.9612,0.2999,0.0956,0.3907
69,0.05,0.1015,0.4843,0.8176,0.5572,0.7838,0.8908,0.6772,0.1976,0.9373
70,0.3598,0.1104,0.1961,0.307,0.7996,0.0303,0.2172,0.9811,0.2145,0.9018
71,0.6387,0.3417,0.5168,0.36,0.8029,0.9816,0.5222,0.2646,0.1575,0.6834
72,0.4535,0.3018,0.255,0.4326,0.7021,0.5903,0.087,0.7688,0.2619,0.6196
73,0.694,0.898,0.3811,0.4513,0.8908,0.9679,0.6472,0.6377,0.192,0.2049
74,0.2468,0.4982,0.2101,0.0823,0.6716,0.8759,0.6326,0.5177,0.0421,0.6718
75,0.6614,0.5777,0.7543,0.9601,0.0709,0.0228,0.7133,0.9006,0.0616,0.7276
76,0.8923,0.0608,0.4514,0.7975,0.3496,0.4062,0.8509,0.6437,0.038,0.7748
77,0.6596,0.273,0.4486,0.6548,0.2321,0.305,0.786,0.5344,0.6798,0.3272
78,0.1192,0.7656,0.692,0.9844,0.1995,0.145,0.0536,0.0888,0.2596,0.0533
79,0.6166,0.5459,0.1477,0.1626,0.3514,0.9046,0.1039,0.0337,0.52,0.6699
80,0.3133,0.9359,0.9322,0.5192,0.3034,0.3492,0.5587,0.9396,0.1787,0.3368
81,0.4458,0.5407,0.7054,0.5327,0.2716,0.3724,0.3239,0.7166,0.8448,0.8473
82,0.3403,0.4183,0.6029,0.1719,0.5206,0.9211,0.2222,0.8824,0.0313,0.1879
83,0.9512,0.9797,0.5396,0.6444,0.365,0.3682,0.0174,0.8916,0.5782,0.961
84,0.0999,0.6037,0.2262,0.4496,0.3429,0.4285,0.1785,0.7825,0.9562,0.9192
85,0.5063,0.9495,0.8581,0.6949,0.0983,0.9192,0.9408,0.5136,0.7811,0.2462
86,0.4133,0.7416,0.4926,0.6996,0.8361,0.6605,0.3346,0.3424,0.8199,0.7776
87,0.131,0.1203,0.4135,0.3479,0.1661,0.6236,0.503,0.3104,0.416,0.7479
88,0.4742,0.2917,0.7419,0.8278,0.6367,0.7683,0.3705,0.4512,0.9804,0.5466
89,0.2568,0.2329,0.6858,0.7707,0.003,0.8348,0.6756,0.0075,0.4102,0.115
90,0.7743,0.4238,0.9868,0.9938,0.8588,0.294,0.4639,0.3905,0.9253,0.0351
91,0.0409,0.4932,0.5825,0.6158,0.4994,0.0024,0.8988,0.6954,0.7656,0.865
92,0.5941,0.8265,0.1604,0.4081,0.889,0.9338,0.2503,0.3827,0.4658,0.5274
93,0.5991,0.7626,0.1583,0.1999,0.0169,0.077,0.7167,0.5984,0.5804,0.0817
94,0.0692,0.5859,0.1699,0.9863,0.677,0.8909,0.5436,0.5733,0.3672,0.1909
95,0.8228,0.5084,0.1048,0.7092,0.7302,0.9581,0.0494,0.9737,0.1006,0.8589
96,0.8356,0.3145,0.371,0.7649,0.6274,0.8961,0.7065,0.3088,0.8239,0.0616
97,0.7375,0.6758,0.6951,0.2171,0.5503,0.6414,0.2921,0.0582,0.5261,0.8274
98,0.9222,0.6279,0.3763,0.271,0.5188,0.51,0.1344,0.8486,0.1279,0.8888
99,0.6046,0.7537,0.0536,0.9216,0.4272,0.4199,0.4692,0.8751,0.5518,0.2928
100,0.9928,0.857,0.0014,0.7235,0.5446,0.3217,0.7214,0.3525,0.945,0.8119
101,0.7115,0.0271,0.6495,0.9023,0.3259,0.0623,0.8049,0.1465,0.4793,0.8167
102,0.0301,0.6102,0.7154,0.2991,0.1891,0.3302,0.8387,0.1742,0.7082,0.1317
103,0.0132,0.2147,0.1061,0.8623,0.8272,0.8615,0.4352,0.1578,0.5049,0.6504
104,0.8144,0.8464,0.3342,0.8239,0.2159,0.0527,0.5099,0.5792,0.1074,0.627
105,0.2837,0.9105,0.4779,0.9066,0.4603,0.1185,0.641,0.828,0.3969,0.9947
106,0.23,0.834,0.3052,0.0681,0.3818,0.2679,0.7611,0.062,0.2993,0.3129
107,0.0858,0.0505,0.6541,0.2839,0.824,0.853,0.4195,0.5658,0.0095,0.7176
108,0.1662,0.5209,0.7986,0.8721,0.7546,0.5095,0.3564,0.2655,0.1702,0.0786
109,0.3162,0.3817,0.6597,0.9693,0.0082,0.2976,0.3198,0.2343,0.9355,0.0736
110,0.8151,0.0967,0.9093,0.1686,0.5701,0.7711,0.4597,0.7122,0.771,0.4721
111,0.7406,0.2573,0.6296,0.3446,0.4336,0.9076,0.6811,0.1781,0.0596,0.3173
112,0.9718,0.0743,0.5464,0.0581,0.0389,0.5284,0.6711,0.1135,0.1549,0.3032
113,0.6755,0.2469,0.9946,0.5556,0.4593,0.5181,0.3401,0.4263,0.9658,0.9823
114,0.2909,0.9281,0.0774,0.4669,0.4405,0.6815,0.6053,0.1951,0.9443,0.6945
115,0.482,0.7878,0.1111,0.2332,0.8428,0.3355,0.8613,0.3582,0.3354,0.2786
116,0.7207,0.047,0.9446,0.2418,0.2822,0.9462,0.1802,0.1825,0.5153,0.1825
117,0.9142,0.9856,0.3967,0.1169,0.9699,0.0943,0.2894,0.866,0.7495,0.7522
118,0.1034,0.9194,0.6778,0.0133,0.5126,0.7894,0.0417,0.2266,0.4706,0.8979
119,0.1875,0.0551,0.403,0.2292,0.7658,0.3195,0.8281,0.5287,0.603,0.2824
120,0.268,0.3307,0.997,0.6453,0.2497,0.0886,0.8223,0.1619,0.9793,0.068
121,0.2886,0.6928,0.815,0.6025,0.2234,0.4898,0.4053,0.4236,0.561,0.5093
122,0.8406,0.0408,0.2544,0.9502,0.8531,0.6192,0.3105,0.8143,0.8693,0.3506
123,0.6285,0.2535,0.409,0.6377,0.7114,0.5802,0.9889,0.4412,0.7776,0.1582
124,0.0159,0.3174,0.3656,0.4803,0.7202,0.7341,0.5696,0.8518,0.1612,0.4171
125,0.4641,0.8112,0.7597,0.416,0.4151,0.1527,0.0139,0.6224,0.8302,0.4371
126,0.4557,0.5131,0.0396,0.0225,0.6969,0.7564,0.8766,0.5365,0.0153,0.5519
127,0.3335,0.1287,0.7721,0.2599,0.4457,0.7525,0.6128,0.5028,0.7584,0.222
128,0.8998,0.1537,0.0498,0.4738,0.9786,0.8722,0.8826,0.3991,0.5554,0.4765
129,0.9781,0.4121,0.0195,0.3728,0.5381,0.4812,0.7964,0.8002,0.3719,0.4614
130,0.5031,0.1678,0.428,0.1756,0.4538,0.5552,0.1284,0.6149,0.7918,0.4129
131,0.5207,0.9528,0.8123,0.1054,0.0751,0.233,0.4008,0.1871,0.7369,0.5141
132,0.1904,0.1351,0.7689,0.0069,0.79,0.4467,0.9709,0.985,0.4848,0.3249
133,0.7887,0.241,0.9181,0.8127,0.6315,0.9897,0.5185,0.4742,0.8716,0.933
134,0.2021,0.0339,0.2004,0.3209,0.3881,0.1055,0.3909,0.4875,0.8552,0.6407
135,0.5284,0.8753,0.8432,0.7132,0.6814,0.3256,0.5849,0.763,0.8604,0.2256
136,0.5876,0.6997,0.2673,0.4767,0.3244,0.01,0.9658,0.6453,0.5679,0.966
137,0.3913,0.2249,0.0891,0.3283,0.1796,0.8381,0.4526,0.7075,0.1684,0.0173
138,0.7266,0.359,0.9583,0.2894,0.3572,0.6983,0.8895,0.2365,0.6594,0.1466
139,0.5147,0.5985,0.0957,0.3027,0.1405,0.8065,0.1621,0.3682,0.9513,0.8366
140,0.7655,0.6082,0.2302,0.0948,0.9719,0.3819,0.1142,0.3483,0.2884,0.7909
141,0.7064,0.0807,0.0423,0.8023,0.756,0.8457,0.3454,0.8153,0.4099,0.2343
142,0.9628,0.1953,0.1406,0.3352,0.4898,0.6703,0.0814,0.9564,0.3564,0.8742
143,0.7491,0.1947,0.6613,0.0541,0.3919,0.9401,0.5643,0.3159,0.7616,0.9415
144,0.5179,0.843,0.0343,0.3648,0.6682,0.6055,0.959,0.9626,0.7224,0.7432
145,0.55,0.5803,0.84,0.8828,0.1393,0.6348,0.2775,0.5922,0.271,0.3669
146,0.5323,0.2189,0.281,0.203,0.0294,0.0096,0.0935,0.1914,0.9205,0.4809
147,0.9572,0.6598,0.4174,0.3501,0.2398,0.8882,0.1667,0.4367,0.085,0.8787
148,0.3847,0.11,0.6438,0.5267,0.318,0.1695,0.1745,0.1288,0.053,0.9857
149,0.6431,0.0039,0.8965,0.5463,0.9801,0.238,0.5512,0.6835,0.9938,0.5402
150,0.1975,0.5666,0.2967,0.8095,0.2505,0.1613,0.4735,0.7526,0.6843,0.5227
151,0.7507,0.3793,0.9507,0.0775,0.057,0.4756,0.2742,0.4552,0.8028,0.8834
152,0.1363,0.4265,0.7483,0.8354,0.123,0.4684,0.7037,0.6668,0.1358,0.8042
153,0.0613,0.2831,0.1183,0.9466,0.3799,0.6755,0.1451,0.7016,0.3166,0.4509
154,0.2508,0.5032,0.1785,0.7529,0.7711,0.7768,0.239,0.2203,0.0035,0.491
155,0.2638,0.2652,0.1949,0.1284,0.0315,0.2279,0.6005,0.135,0.6331,0.6116
156,0.1583,0.0096,0.1236,0.15,0.1648,0.9359,0.3542,0.4629,0.9641,0.2689
157,0.2152,0.9037,0.8807,0.3312,0.2113,0.3101,0.5276,0.9962,0.4882,0.2633
158,0.9843,0.4829,0.0742,0.4134,0.9009,0.1581,0.3253,0.8578,0.4037,0.1247
