,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,sim_liq_density_241K,sim_liq_density_261K,sim_liq_density_281K,sim_liq_density_301K,sim_liq_density_321K,sim_vap_density_241K,sim_vap_density_261K,sim_vap_density_281K,sim_vap_density_301K,sim_vap_density_321K,sim_Pvap_241K,sim_Pvap_261K,sim_Pvap_281K,sim_Pvap_301K,sim_Pvap_321K,sim_Hvap_241K,sim_Hvap_261K,sim_Hvap_281K,sim_Hvap_301K,sim_Hvap_321K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
11,0.5990445508539467,0.45736812541783106,0.11669429843626701,0.9132348634304444,0.8966155827214048,0.3917700964423009,1144.9454994666667,1083.3720358777778,1015.733493148889,939.0466877844444,839.5260272188887,7.1771295823,14.915234844666667,29.069347343555556,52.995251087666674,93.4766673362222,2.5589619731,5.485970758955555,10.653071631011112,18.6362813766,30.378029437044443,358.46876857083464,332.34847269479394,302.4384863456545,264.61493626222597,215.828966474647,350.70963552696065,427.1360751184975,124.396174401882,0.5311080729137739,0.0648141027596236,0.26965377650346417,0.41006665833098926,6.864006384715733,1.1017562253965643,1.5875475150698661,1.6065525629154218,0.1320900926784611,0.18225828178151968,0.6096307861908782,True
13,0.6013132956123675,0.4493108276956212,0.11994886319279359,0.9917116073734763,0.6750385379786429,0.8257528034498889,1154.6602404444445,1091.6663361222222,1022.1926469544444,944.3317600966667,846.1404749866666,7.418713505444442,15.214476310888886,28.590214221444445,53.13089173022221,94.73783354077779,2.6358798066111118,5.568270265344443,10.454697692955559,18.66670333952222,30.552767100222226,358.8652479301434,333.3036810465382,302.77829460585525,264.4315475769939,215.73242898100335,350.38212726467106,430.09234027206736,15.574568229995839,1.2484605396659683,0.09791894486518389,0.10794187652602169,0.9367776317931773,0.1131247786143652,0.3896024659640561,2.663459034046139,2.2902393079011922,0.10450488787089589,0.27547253033413044,0.07826307766904685,True
14,0.6105389895761055,0.3139186712754724,0.6479370938759855,0.9132218033312652,0.8942409578367451,0.48035667211666677,1157.9423623777775,1095.1516404666668,1026.9216790455555,953.1567004366667,851.5553463233334,6.841974853588889,14.589779777666664,28.202806831777774,52.825808238555545,92.21005602388887,2.453910671011112,5.377763598522224,10.355199781477776,18.64198879251111,30.237133201066662,362.77137961890054,336.8525599293109,305.7933013329191,268.27387634709277,219.73179768887204,351.628576890971,431.56769059371544,5.04045322266685,0.360269709500061,0.03876893273170403,13.752961142536753,0.07760508418304234,3.2822228073571065,0.14110792841486144,1.6400395123871585,1.3756479105385526,1.3095817373550473,0.07928757392086329,0.4215626061568585,True
17,0.6183607733245812,0.36851731562231677,0.32464092319178894,0.951265206957221,0.7064973024631852,0.713990461459745,1170.1545451000004,1107.8725056333333,1039.8174216133334,957.5321605155556,863.72983244,6.864210033788888,14.624883308777779,28.83449248788889,51.04672144911112,94.90817100188886,2.4565471855222225,5.381470149211112,10.551513172488887,18.16371886064445,30.656302997588895,361.7514696951578,336.3455715892924,305.013239339156,268.1537687269187,218.5204544298928,351.48576913046793,436.50073417065175,150.71343261926023,1.0280859664233168,0.09688576776162515,8.957323526044789,0.01843325678801142,45.49143903275778,1.2093249990116826,1.7918353814375496,1.4897371233973462,1.0492810995557715,0.03864213191060381,1.5694333925883017,True
19,0.6326363453052642,0.4407641874984211,0.3421105346183641,0.8400665213821319,0.7686751067749678,0.968667115799168,1132.6969681666667,1070.3965796666664,1003.554825577778,926.691459101111,839.2073142555556,7.206569281166668,14.56691669266667,28.41084717544444,52.151558686555546,98.89049787055555,2.570339691944445,5.3768012146888875,10.443827976833337,18.475326620977775,31.31071734303333,359.09095105624766,334.0507178426185,303.3034687262095,265.24554715169114,213.8905032480643,350.781913727765,428.4521798754764,470.3459252134997,7.515416858257771,0.3571721232249149,0.9814555742147817,0.32272201270186657,1.6999469171126163,2.0556907649203757,2.277080079853442,1.7513508455031084,0.3273380801740947,0.1616867147388664,0.3033861364410396,True
21,0.6485424476908509,0.3031685311304219,0.46628884326811265,0.6771885847125819,0.9295287976830628,0.9073693194895891,1174.7105597666666,1110.1315138555556,1041.417435891111,957.9383014444444,861.7878210933335,7.10632467748889,14.142935941777775,29.286945771222218,51.493977588999996,92.96790388555554,2.529578196488889,5.2183235753111115,10.704237525644443,18.315401181699997,30.37521217248889,362.5463669401893,337.5194003103561,305.20323254549976,268.0714319829251,219.29747684660137,350.7883077404505,434.8306997411588,192.4250346489473,0.2531446286692382,0.05462730311833297,12.81520374171746,0.31549819443787375,25.75257746291758,1.323411888736501,1.770042852659403,1.711551201625976,1.2424594369686024,0.1598668733597681,1.1808327844541644,True
23,0.6530393057015272,0.3657928808217861,0.217137227740384,0.9733628806012551,0.9557648475442787,0.02835506812425989,1158.2115331111106,1097.9105699777776,1028.1416836511114,947.2834882155556,852.3913082355556,7.005390867755555,15.374976790333335,28.740809101555556,51.72100935922223,93.22045932999998,2.508246970666667,5.6106108743777785,10.540319855355555,18.47375605511111,30.51182135254444,357.12463271063973,331.17541912345223,301.61264265945493,264.58570548978594,217.2352873323273,351.0815383473047,431.02630758323954,2.8106234206934078,0.12052793520421215,0.07001515426472826,2.362412737216937,0.07207165896791899,1.61368135603596,0.1541688803151572,1.226923893063746,1.479188557526927,0.4490087195882098,0.07640861041563982,0.2955880972550869,True
24,0.66182215956831,0.17242916180043338,0.8102365567601741,0.9076817543888184,0.6454755513792177,0.95448902680483,1172.1643122222222,1111.3404082111113,1040.7743774955557,959.1544295277777,867.5902945355556,6.813791476688889,14.523266328222222,27.855758694555554,50.600163051444454,92.3198297601111,2.4360764183555554,5.328239484522221,10.294094657444443,18.083367449477784,30.30380389465555,364.26014456383257,338.4693118453902,307.88982763672493,270.30961933818185,222.54818756121497,352.0422478276133,435.8766292719083,216.75388805492676,0.36906052996010774,0.035714530281194305,33.07798094634499,0.479207054835334,37.46210268414124,1.4510001611169012,2.0015875957114933,1.7134483595703582,2.043389679782901,0.19702513949432207,1.4242103128073471,True
25,0.6648141404935011,0.2878060310788669,0.4636785369045128,0.724280722495578,0.9525510296678631,0.7042877508581032,1176.849829011111,1114.0438589222224,1045.1062049811112,965.8510326711113,861.9271223233334,7.208217728588887,14.874808003,28.33789223644445,51.063848266555546,90.88633051499998,2.5610928942,5.446670956311111,10.398657141777775,18.268531748188884,29.84836849736666,362.48360297916605,337.0166278683114,306.80461055408153,270.14756812697703,220.49651431173902,351.603381279468,434.2120482886199,302.61811223560403,0.8035451363473618,0.0046926010178056,20.02042398769073,0.06420207278483438,19.856366350512438,1.6738311941010453,1.2173826196412996,0.5858660718841211,1.5828545742840623,0.07211648768122597,1.0368786680395181,True
29,0.6768849733857514,0.29052693857592876,0.5260196628657247,0.9536295609539572,0.8656195527814718,0.26810456463651194,1158.6688368999996,1099.9523169444444,1029.738029801111,948.326763231111,854.8617380955556,6.820235910655557,15.245436019222224,28.767918378,51.57034674622223,94.70810517755552,2.438721117488889,5.5917083448,10.542811264500001,18.33590151344444,30.690313552511114,358.7613568677345,333.1838060870002,302.9648903731844,265.5564761381092,216.74792079505062,351.19302804850435,432.85259687681065,9.990541831912608,0.8121407977466161,0.10767974757471846,0.5872965151729653,0.024640193556361278,9.588912217473652,0.2672268903308307,1.9401254947614899,1.9354080828701805,0.2556091268424474,0.04467680418263194,0.7205476774752835,True
32,0.6904613136580613,0.2961368776808579,0.24661242913264678,0.672744559129007,0.9995075583211399,0.671224217811081,1180.6245770444443,1118.0495235555557,1048.7703623233333,966.6014048755554,868.5545327944444,6.9634265807,15.513428478333335,29.248022476777773,53.64050601855556,93.976032343,2.484654957222222,5.667929922277777,10.666657176900001,18.866416950544444,30.633355739922226,360.52442445081107,333.8169052619085,303.55574347454643,265.2561369319169,218.0772631478197,351.21038764189353,439.29654609348813,441.95401147620703,1.2886633958082578,0.17118737935334027,2.0747758768233275,0.019491610536054766,91.0220197619722,2.055216830502634,2.795371099423003,2.6304048756132135,0.4726591804473663,0.03973597783022338,2.219991365679167,True
34,0.6980577141472845,0.3429070321373809,0.20697765631265486,0.7950567296794842,0.9595541013604812,0.4471966842253219,1158.1815891111114,1097.1920145222225,1029.4162336155555,949.7064364933334,855.918610098889,6.742164246700001,15.021698826666665,29.74258106111111,51.905771999888884,93.21062517233331,2.4145799083222226,5.5115067575,10.839602813499999,18.403920636366664,30.41771170242222,358.93237463168225,332.70039436641633,301.56408304356677,265.84333665379717,218.3461454304294,351.6857703863751,432.89088229270766,7.981399644339926,0.4212570559942527,0.07664019643212971,2.023970306759951,0.11274175236647621,9.827486989132202,0.25607214342507834,2.270456385346397,2.29394881438396,0.44237725420649476,0.0955657852213145,0.7294563177029959,True
36,0.7096380676952991,0.32153783007058984,0.42806173790811514,0.9887314077994459,0.5532440360876523,0.9243278208236859,1153.354670522222,1094.1436896,1024.4511651277778,949.6709846533333,855.3436979188889,7.006570736566667,14.818726829222221,27.821506193222227,51.058351149111104,90.6992720706667,2.5058877401222217,5.439452762277778,10.267866168433333,18.193943070488892,29.999507828411108,359.78645393876025,334.3664706516223,304.25639792443354,268.13614437480015,221.01407040125966,352.7576473209207,430.5256107890832,8.590540770572797,1.0207501058605897,0.0070950142584652294,9.510198112883954,1.9814709800951107,0.5923007666733133,0.2664388843113268,1.2543931052904762,0.5252794300329553,1.0010618638390676,0.40063962456828217,0.1790808712579303,True
