,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
113362,0.7624377385526672,0.42753910063791634,0.5248703174765175,0.5398764492388358,0.22130410747744736,0.7731815404479381,0.07225449683045185,0.08663953870928331,0.891546277347129,0.9496159885507913
2595,0.8369130057258009,0.23774566604296463,0.6158488631882778,0.2927647857237201,0.05006184291799286,0.5263058392808659,0.06148670644611976,0.2684644900566785,0.7918293598108724,0.9215359105362678
89561,0.5511688931217432,0.33428374286279877,0.5346968183901273,0.43052282701270705,0.427029554585207,0.9108646134213668,0.38272674158257386,0.07174395116937704,0.7216077107097439,0.8931830497650799
71182,0.6905179632618086,0.24864944012082685,0.6038187442170146,0.31767374042639673,0.10263868848253535,0.7889131370504974,0.013708925527537733,0.15772441344188445,0.8468581759057581,0.7870753980299976
69330,0.9477099954261218,0.0080882362039835,0.7436571611331372,0.06817390669972635,0.20072315327178358,0.5687840157769543,0.18800985357570058,0.2211410691065825,0.9443029584387354,0.7878965305583421
97934,0.7143805267538107,0.36305999278574164,0.5388751683052576,0.38719121182526917,0.1376933527229898,0.4570091120004645,0.09788250005730753,0.3589888855214838,0.988664597993543,0.8216051606980884
31101,0.6701802299601264,0.17750030506705008,0.7030477015732838,0.13208952788106365,0.16634963420711435,0.4662625930344811,0.5221655720576612,0.27583156631335415,0.854086550926349,0.31566752532103726
155996,0.3349300807292682,0.13075367563084153,0.7285420079618661,0.06873514291821017,0.3443026333645443,0.7507170061923676,0.45009379769143304,0.49318120970277735,0.9913139476133201,0.7531880264854799
139259,0.4891004971824849,0.41969825840407915,0.5608526562908437,0.014087353263938248,0.4772224855908985,0.7621825213445992,0.03112170392572849,0.4137173374097728,0.8471355997890518,0.5964231702953605
33191,0.5052126502393374,0.3128222753326131,0.6741442246101509,0.19628806609707958,0.10121438941300717,0.7240595581329126,0.10039387761623789,0.3111103708376784,0.874692506569103,0.9994348792496088
13640,0.6150802475855106,0.1372326243369156,0.7237949254454832,0.025356172876581432,0.19126490814057048,0.6073909530982912,0.4005217848067378,0.3325492964728986,0.586297534628636,0.43327641654827587
44096,0.5921527224249002,0.2557726405940026,0.673581167755845,0.08366408024468719,0.22388890193899597,0.5485911762089244,0.43062899439314256,0.17604148486815183,0.9117076306055951,0.7302205320046274
5809,0.5909787911833436,0.2820336964252745,0.6086366385809194,0.09381244282838097,0.137995213615594,0.30882300415961345,0.06538837218734286,0.5670094324788686,0.9869659069160981,0.8938124728516488
5528,0.8949287923418535,0.17802539739822396,0.6491266565564986,0.3035099395783364,0.08812976846845,0.5139010850751368,0.25265322527188594,0.16606189265930069,0.8650043677380496,0.5903960613386044
8493,0.779087115062186,0.08118475996463133,0.7463412878315344,0.1904770555170901,0.2729185793875831,0.7726293197502602,0.23106526553312448,0.2588236565306207,0.6836220974555907,0.5772785630063013
7373,0.268516543794736,0.4101987475444712,0.6067009529035474,0.11282955149226447,0.11325358930169005,0.6246658851244633,0.41183304256702935,0.3211751753248502,0.8485710495346364,0.9345292922469801
95204,0.7131794612243018,0.27805985289689944,0.5520438115523081,0.36993235022178056,0.15376792058980723,0.7567564334267091,0.16363885044213125,0.0934222508392165,0.5666679844260067,0.7903244880464887
58345,0.4086442962241413,0.22873027184991457,0.6589126476620748,0.017316915901855242,0.2731632135964517,0.7021350726129134,0.24040798390935345,0.4092976816877944,0.8476804078338017,0.911548263070214
141474,0.8192119388385722,0.17554312035528574,0.6753883389500757,0.10002402602274162,0.13650058931613648,0.30479672516152956,0.1164900322453445,0.557303404985344,0.9659955523288496,0.4001316532843676
125709,0.29030572727517023,0.6713898384778333,0.194821807622299,0.7667979575398925,0.6614328396136964,0.8391712330678398,0.3017570965943679,0.4103156867344889,0.1312429357361886,0.8791082395506588
96553,0.4429248919537412,0.1954031016272524,0.7188981384584717,0.03019072058440054,0.14736867869560585,0.9440347091518231,0.10897881175427192,0.37357888005236184,0.7501950017149307,0.6343426339087395
146367,0.37396779669018365,0.4006827424781195,0.5488228961621913,0.004427045742123988,0.5649726103444783,0.7119731944181557,0.4965629871534726,0.21175697379482028,0.7754438376362056,0.6253129012170334
82094,0.8177639247375945,0.28914030100192456,0.6019735179184805,0.03899657229139945,0.41611893667808997,0.8810476928223628,0.0913013986614041,0.016974773998229206,0.6217075382818171,0.4497840034272133
143720,0.762285643927993,0.33102872051334703,0.5823926290376525,0.05648468866640041,0.45673455564474524,0.4880491197902696,0.26154118901829454,0.27245091438901897,0.9644038663532555,0.7148779815976471
12745,0.3559174110650355,0.360064646400684,0.45516714649622997,0.199500610696389,0.6048828185599042,0.7632365163787449,0.20682584117755326,0.4084927542112203,0.9246910312544921,0.7518582103897158
41391,0.5558469169121251,0.4325402984629061,0.3914927076733973,0.548296529305903,0.28498476908082226,0.916987367365493,0.030858932717623206,0.1702946903678362,0.4522657213470791,0.8328762990301775
50494,0.5619706473945644,0.08287295382594691,0.6345676265311172,0.332372872410468,0.18892981914073953,0.7273308112154003,0.17682319812289285,0.44310868571295076,0.8129407890775511,0.7444917981696334
107063,0.31323710919701225,0.2354049720340809,0.6308762674829466,0.19527173360635947,0.40505247793478055,0.742044306885922,0.5889049282364965,0.3217543074503507,0.7804116734562282,0.939305546943369
19565,0.4907080057892053,0.4227872611904029,0.415942662970965,0.4010170731913355,0.42309121028680924,0.8659835316244578,0.15154459878230095,0.16226483211901857,0.5569227683801764,0.9401227525376076
53152,0.5011253039174101,0.14931376076590477,0.6753266618261438,0.26551478908600484,0.1620370951430628,0.9945253169929655,0.2627372836859515,0.18334031221999375,0.3591187267242089,0.9805800427834037
50408,0.7667237822802637,0.48723970384704696,0.39153847812569886,0.4649288522759146,0.5287963550875171,0.680381385062493,0.2619688663594797,0.019201639610087678,0.544299995266207,0.816256936604323
152925,0.4099180632307211,0.611837962591067,0.3031882474021355,0.35307569343941886,0.622842686797793,0.9620824883511989,0.1262407097374071,0.11674373013312991,0.6172755778333046,0.962379998311992
11442,0.8045193693507,0.18008206725182424,0.48783674365433893,0.3549421776011231,0.36928688893705425,0.7836970090929332,0.08619755948347718,0.11336309682705686,0.7447800136088357,0.712144046825073
68972,0.7675563814711506,0.2864056370958584,0.6419327153753265,0.034454116735661657,0.18430413563053158,0.8796371571826949,0.02738607394744061,0.11414729211063046,0.451637678657,0.4385667012527062
51245,0.8745382898337197,0.06738696496820006,0.658428047815287,0.08634843988874666,0.011134086141644989,0.3797806766601902,0.6412054030388672,0.007524947917295832,0.9345724759679179,0.44239110990546454
45681,0.4509139277468627,0.33450887259437234,0.4934895238484582,0.48470599304069906,0.5095098100094387,0.9766436319399985,0.339625975403533,0.25819524172970504,0.5362418352021574,0.6061435173020832
12311,0.47075546889050474,0.11386788533030802,0.7862482988524098,0.020785960523181095,0.22829624556996062,0.9379502344500262,0.3389153894646006,0.3298743315159975,0.7796953560764064,0.37627438317342227
3840,0.5428371019495402,0.00484309728118455,0.831696859385528,0.09855655284534912,0.024921600683271452,0.9828231282950793,0.16014415004149093,0.32171620084138514,0.9104495519123049,0.6008432334789607
112742,0.430941453937122,0.3562711796431239,0.451445522682304,0.18344792435468008,0.7112787952641229,0.8438657229584169,0.12616466898670722,0.45016781056733995,0.8388034975900747,0.7520927359018929
114985,0.46044137593825984,0.2610717909797295,0.5228701628509259,0.42958819506947626,0.3226972798421356,0.8116594276341007,0.4557862834968202,0.13583232163214387,0.7675069205483808,0.8149097026360462
91994,0.43040406993511976,0.42102122181039386,0.2505242040758503,0.28787854996866047,0.7272599331109221,0.6840334421651478,0.11775351417791542,0.4638302497485239,0.5273615790972359,0.8688763530167312
57776,0.3218627118745138,0.49942210833107353,0.4515302116520832,0.3759061237006626,0.4311209074062409,0.8077332156026533,0.5844472618550379,0.017637782373554373,0.6744635777060235,0.8248923273706041
112206,0.39581023658113973,0.7123078131461172,0.23095489628112476,0.5464614827932666,0.7672748107240969,0.829455931295766,0.34359065214888773,0.05307378393250597,0.6606482535563628,0.9380857378082696
9093,0.7070654810349806,0.14719366355169305,0.5157789454186389,0.038039228490841216,0.45956081626672807,0.4720665157698012,0.026522148424244163,0.4724214199150761,0.9621193981048011,0.6773027595718588
