,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
47,0.0900583216493981,0.9748413808377684,0.3753264263550779,0.1941143700631349,0.2624391976193659,0.3855384572181424,0.1757839581929231,0.9173070261893485,0.8747972353268065,0.984540628077025
523,0.9256137579342704,0.886845579367375,0.1431430697610589,0.8017722381565923,0.2923191505797721,0.4546843359050155,0.1629343464721967,0.1734136160255344,0.8625858426666432,0.5709288018386406
79,0.1633780663165915,0.4455716503913572,0.2628817012766274,0.7156462427027449,0.9382515310351378,0.9975317448908856,0.7551124623637131,0.5560576479045598,0.7514907681328938,0.4043825247972178
334,0.6330002818323381,0.8256625290648312,0.0177246934196629,0.9354549355192512,0.7883846156014878,0.2046328515905909,0.4635964409238611,0.9547563671304627,0.0178886312432392,0.4365417937397029
60,0.1069644550361385,0.9105685783955528,0.5503761667317469,0.0329748236645298,0.0531305903540095,0.8836044878680004,0.3488248123557217,0.7488879138307448,0.2753067340858148,0.7977114420657243
177,0.3724653847781798,0.1494698901501872,0.3903897909770238,0.2728877781819221,0.9383801366496736,0.7228091390204802,0.7235199555985676,0.939654581134066,0.0737604847431963,0.6179685383606016
455,0.8106028797678847,0.6010699771338497,0.493419829650259,0.0516183336836102,0.7139124093177706,0.4114297853374049,0.5336616748234532,0.0611994109212957,0.9960461314390044,0.8029144726977502
409,0.754977332094907,0.4050992787823071,0.2841283914364755,0.5697673160429967,0.8465759652112482,0.6553386715703783,0.5932412208908981,0.3149682436439258,0.4094366776060237,0.1380501330266226
508,0.9016382038419498,0.0186258140134183,0.3549308906134428,0.9633476904577573,0.1628168657938362,0.5459730186646491,0.1207285739226509,0.8210804601621209,0.0058297565406274,0.9035993670061242
553,0.954734607917966,0.4081404425346001,0.2832509063207545,0.8652754510572608,0.3412384211956485,0.0635457905607344,0.9963452975979376,0.149331199698344,0.9385305509598016,0.8197948489944196
362,0.6869473077081677,0.1884672576930798,0.5089365771490241,0.547849370062764,0.2120252844299045,0.2405804425465396,0.1997091620245267,0.972563332838296,0.4869304188171391,0.5041775036947227
535,0.9381162378078493,0.1599504473358552,0.717903085626604,0.1905841629897242,0.0626331181679535,0.4037274968631074,0.699426583093297,0.3616343158785187,0.0960680245653203,0.0548704760116073
23,0.0508894013871897,0.20332700961166,0.7180305503997181,0.0012424989319009,0.1872330064864604,0.3365932556850446,0.8642148579827837,0.8988831033754764,0.3396082461692151,0.8024628801921364
24,0.051959279235752,0.8871877288485178,0.3020649569688163,0.5470411536282779,0.6278410182504608,0.1062343364726959,0.8797433341338455,0.816197181541023,0.1201070505977221,0.6589628925996469
440,0.7927254663110177,0.8141198651390131,0.1550140140331931,0.7140841399157085,0.8778122679131062,0.862214696115645,0.0026801551212447,0.7027733943912478,0.2062779340821624,0.4091990961188659
420,0.7672551186161466,0.9738465392532571,0.1780873462218659,0.2718946064205662,0.8649115228931165,0.0119521520011735,0.9615848144975148,0.1751251158886115,0.0171575820901755,0.7449208599637991
582,0.981795227999403,0.873503766264308,0.2857572258182458,0.4552639253594255,0.0733585305502406,0.2335354484808549,0.1601348568493391,0.6371676682279556,0.537000889464362,0.0600989578397435
217,0.4270150297352673,0.4969787934343893,0.5510665557185873,0.1816531600241085,0.5905528616750377,0.9965172606929912,0.2701079392682401,0.4122871810281154,0.4358458206153179,0.594170191044886
401,0.7451477784843487,0.7543952195006615,0.4817731619451934,0.106847950246528,0.4915375123568391,0.013233754157803,0.9566347105430356,0.325215694939856,0.9993188070929664,0.06885910530135
398,0.7423174012519017,0.4933747835688841,0.4725349012619053,0.8341292236085338,0.1314094767621073,0.9463331220714014,0.1919800399845309,0.1379211412494381,0.9747578415679644,0.1020894930352358
545,0.9490919521282996,0.026444786695008,0.3620801324812718,0.2016835564662728,0.9835319386154489,0.1959614302787027,0.9920059005041776,0.8559421415495866,0.9670688200341152,0.1705081866282879
240,0.4643616105151488,0.016078763685922,0.4648724261432731,0.8108432941391208,0.3849916849886301,0.9470559460439288,0.3679658106332077,0.6333544634526839,0.6721386183508693,0.3159553778988117
348,0.6656890788750812,0.0736711402854805,0.5966203442623916,0.1180661910779652,0.4813095159980874,0.0428182651911146,0.5954774056105328,0.9211465743427534,0.8136807164398291,0.9859303438364152
460,0.81831582682236,0.863962102893319,0.1721783882683078,0.1029887336716579,0.9743426394828556,0.1001202529096338,0.2646694213991699,0.8293134613863199,0.9190278053434412,0.5719862046976387
462,0.8198474493880344,0.2549523972121607,0.5664331259673308,0.5769361753313965,0.0779496820161741,0.4106830081330651,0.6335256205304618,0.2381225533361241,0.5787861903554439,0.9893575184837936
