,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
64204,0.4450319899827905,0.39929661587009857,0.13111751804153574,0.8757326272065482
187293,0.44707445153967906,0.3964118579239466,0.08692774962087728,0.9140075745464694
117210,0.5930985375659182,0.40848862367677635,0.15640491348919558,0.7425079051257013
11914,0.4875207974939947,0.4053225022454467,0.17012363545351525,0.8074170129252308
357051,0.47123803417260807,0.3912919720493829,0.14632778164934587,0.8318996588930749
158779,0.4250745892078796,0.39911115273667974,0.17202253946238052,0.8506182468046848
297632,0.690825321606932,0.4237417718276357,0.29977005869079243,0.5344640051048666
366001,0.44222262457160777,0.3884099846012246,0.022687194333529632,0.9820191747447166
87871,0.7932917068812156,0.38559495874677696,0.1251070365588416,0.6184248643840037
268231,0.7488983914542907,0.39008247841232196,0.07671664687698748,0.7091730266777555
127135,0.7676854456241977,0.4028544913257029,0.22496692523034886,0.5287367667763616
212845,0.26192071673019873,0.39712254927329715,0.24630405725989205,0.9350379024890214
116687,0.5065780316309304,0.4058761182405585,0.23627359319439642,0.7418372323889144
220108,0.3620883470536867,0.4157304960314546,0.4158022763759421,0.7655514714881585
228274,0.21819747249901633,0.40360794268626266,0.2673833176740279,0.9713631951147419
263716,0.7682029018197561,0.4134964233955634,0.2827546880607844,0.48460962724908163
173426,0.6253638504823283,0.42120793436828574,0.33078006011534555,0.5605968884970306
347150,0.5580848885358285,0.4254671749369433,0.35581187729723907,0.6174906721742317
306728,0.3105220896311898,0.3803532031507695,0.1710589766148331,0.9337562466828242
31245,0.2962085580129165,0.3865523431030067,0.25385331385737686,0.8972792709864603
1997,0.8238431958409791,0.35990910238844687,0.04525017982936314,0.6913496014495819
33947,0.49686620995439756,0.43283866645407715,0.4407699373387915,0.6259575670144408
318185,0.6549897135750546,0.43041939123099393,0.41771904382638847,0.47994238982696963
283867,0.1132572502992547,0.39326798423298487,0.4216562515212498,0.986643066859178
190415,0.3842046371465986,0.4212617060236439,0.3959848960226653,0.7599506875357089
284102,0.4216368765912368,0.4016718801398148,0.07037137607220696,0.9524144643661692
177565,0.7034071546619031,0.4156863930696855,0.1913154110360684,0.6278705365010071
134025,0.7942707523677073,0.38672822263987566,0.19900846107819975,0.5256728008181734
290285,0.44605671933873975,0.403699790162505,0.2376837495034718,0.7820324580113883
8878,0.7151947927567435,0.4131802196206988,0.1634482857192758,0.6422045261195913
332954,0.8072988673429929,0.3729724328270808,0.03271233120766237,0.7287604506617171
31506,0.46319799583453347,0.39673176376373465,0.0037384241039876034,0.9976720488051213
280803,0.41176482912829687,0.4101132004375572,0.29604997860346466,0.7778613499881234
75987,0.45446195082863206,0.41179514336129214,0.19871354992850807,0.8147454207258086
311299,0.37711826751023764,0.4061436485969693,0.15017694341075566,0.9247571750296903
90792,0.7423532709863765,0.4242504317541102,0.32263064018797133,0.47112721731769475
19551,0.8267764571316869,0.39758198075633505,0.3319703680526022,0.388847082730157
11179,0.6058127303309221,0.3932527786056851,0.05467655870803918,0.8255075814695558
227134,0.3571366897757053,0.4136819942171116,0.4279775253395084,0.7587434351940495
190000,0.7358998692591068,0.41640548152783646,0.40559817710448637,0.4021384229542803
132702,0.1736612656484637,0.40622283966756845,0.31043646341379383,0.9937886798257222
338628,0.7225271062668854,0.41333561009799824,0.3228739665926145,0.484401353473528
3561,0.2681011221380417,0.39273916291892486,0.3064023848530253,0.9038831799762966
38622,0.4858281477634404,0.4057216451372734,0.3222579844512265,0.6922458606777143
265689,0.5387704151295241,0.37250202201645066,0.0433778182097356,0.874550076976452
72452,0.5954719919324579,0.4044861450601193,0.05022902670260726,0.8560855656881017
66446,0.744774100607422,0.417216063390504,0.4037625625089891,0.40191201757829054
75014,0.5272989765925508,0.3869032618306758,0.043494487398982894,0.9038746031427416
270901,0.2169441658751863,0.38043988059746214,0.2897110484951371,0.9401632591261665
32809,0.27291160506320933,0.38223911067227656,0.2027707409519903,0.9370389259273686
365184,0.5724788058505553,0.371357145845632,0.026476134548076617,0.8637355576644591
52254,0.5654653559387681,0.38129876846748406,0.10955497691601508,0.7874368415237274
174360,0.4997082903035926,0.43593332168092247,0.5776976062334801,0.5448285275420147
133674,0.23615908836582486,0.4042277350646543,0.5628609375943957,0.8234674159209977
56373,0.35448295500995114,0.4092683567657145,0.5142877418719088,0.7169982892107172
245968,0.8226690873957919,0.3813606612190944,0.2165347049268582,0.484163142464367
38759,0.8251027377058077,0.38048970317079006,0.3225054639658341,0.38338085652852194
206238,0.4149662369128659,0.3738607361978463,0.10466560521684933,0.8982352565906535
36334,0.2535200777579168,0.3740370410128199,0.12761616521379976,0.9942442151874997
169542,0.5123625899956368,0.40423678039464356,0.1714364232472878,0.7781299514061573
239492,0.8213457893332718,0.38885259914598563,0.2979256656852152,0.4200033304571997
247111,0.3622090479835906,0.41682463032073225,0.3498403049757346,0.7986127280871463
368534,0.7638428023646263,0.3803452491946039,0.1720014653448673,0.5756694247059903
184689,0.6533160403197704,0.432455735260211,0.42112140119277824,0.48542494416053966
123645,0.9153742667745194,0.3394140159353864,0.17359391134923213,0.4692005555287429
92568,0.27401015594371697,0.40802238482963205,0.5905944668862976,0.772358408560518
223647,0.8187389818494216,0.3953430347455004,0.4591221639399571,0.28691061789778943
126300,0.1225087127061738,0.3983727148231718,0.5087270305315891,0.9517007182733733
341900,0.764292980823203,0.4116446580108137,0.15293300316361794,0.6218615187420835
306620,0.4909948078214598,0.39043059719364676,0.14873105448451032,0.8215254687336104
277993,0.3818523466435526,0.41807335166496745,0.5879389914768601,0.6582110543193381
264166,0.6148172881472768,0.43854140239158945,0.5389823524854963,0.4470598737052322
239115,0.5401363493736446,0.4241234323775567,0.49783810274111806,0.5332085212166167
353395,0.7451184895690063,0.4304105085816304,0.4981164249565798,0.33453669954899595
72796,0.19199074825830803,0.40904658634297025,0.47140637340413927,0.9071975493235855
119213,0.712109785161486,0.38555486818393225,0.165742013829916,0.6136305895923526
277792,0.4060823386442858,0.4266090738093476,0.5762681420471283,0.6502421142593486
261625,0.7156241101830717,0.44077516560092883,0.410619653537899,0.43527723576727945
30102,0.18800642926183556,0.4017596340744797,0.6035927328360119,0.8649592869375688
