,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
66363,0.5257925815638811,0.44266360770898017,0.46656194535686596,0.5948219565863077
103435,0.016868581285968076,0.41953943559216783,0.959915763893079,0.9584467230281886
41547,0.5344106905413499,0.4315483941236737,0.33212555157089524,0.6683875103346648
115338,0.009913780268058295,0.3992633810802949,0.8216120697021153,0.9982454037372691
56995,0.47077159829322784,0.44016991950608425,0.40889162764689124,0.6891956995627854
26885,0.38247904012751527,0.4231984340618664,0.32764296928711456,0.8184032220909075
63980,0.06649848731974584,0.4317293510754947,0.821943073317869,0.9585278549573223
13193,0.10047344093911487,0.43257802306696674,0.739860987440748,0.94822248248261
5962,0.07411033524554897,0.43120442432083816,0.9259198650144037,0.930259305970847
8629,0.4181235031580723,0.44738291335856045,0.4471611756043377,0.7229167303375019
97216,0.03420505957230416,0.42990877951020096,0.8771627388417838,0.9812456287507259
114384,0.5239605822969082,0.4266817698128084,0.26522843669130725,0.7297209287010777
73421,0.665567699912789,0.4418433603246827,0.26045048413679883,0.6091431196397121
82186,0.4181530112782978,0.41836615580698394,0.26447901140608215,0.8237983574588807
26351,0.6579194439253716,0.4467187209690939,0.29821441746799465,0.5853313328338247
44564,0.07323063691237426,0.4295211296183859,0.9824658245400446,0.9205436481161401
12135,0.6259340462573804,0.4574834540390442,0.45982920518624626,0.5095728920036797
110253,0.5649223945793883,0.4364516267213379,0.21251930763060503,0.7258473421924796
118734,0.040943477476028674,0.43196163126821,0.9140520915550054,0.9700440998047163
51,0.08669670727508015,0.4362255472702464,0.7795864014425052,0.9460784833681868
125483,0.3945301804609767,0.45000668427094415,0.5301290564195802,0.7202369515370179
39433,0.6015292851076484,0.43150513952211883,0.13886244316567795,0.7724107636855786
119206,0.5432863407590662,0.445678523300968,0.26642210695678176,0.7119183937245015
78271,0.4529666919490656,0.41290196692451503,0.2875493951568143,0.7724328008064868
56366,0.31017882488620735,0.43950608175829187,0.5889442071132814,0.7857094887570771
122105,0.32227394423697303,0.4377902046537108,0.5603860695546552,0.7827640585817146
131308,0.4360085426363044,0.45477623796430383,0.4554150933059422,0.7110286610523203
107929,0.477909564985871,0.4661741312950604,0.5617334148561174,0.607851711384281
88544,0.3219469318228912,0.4354789683646698,0.4845163343366536,0.8141838844029259
58566,0.4593616101331302,0.4560122336257274,0.4610660047022533,0.669964314858956
50187,0.6821822172568124,0.439357946644446,0.25027569099146,0.6120232265551021
4218,0.12498140579188508,0.4444716916092456,0.8268795383252194,0.9121552998515212
