,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
210596,0.10586171549488842,0.5439718316721969,0.5899066208206674,0.19755316090637684,0.9981565170009467,0.16887458746823242,0.9631575432294274,0.5680923960540061
130643,0.3546066069565782,0.48436539232184417,0.5098002306485059,0.8354205972043763,0.9433195497453601,0.97408687483351,0.2426971598916393,0.5543451030387611
134844,0.9450395104926995,0.13984705493989155,0.49698003838220495,0.7866921381313468,0.59394256349005,0.2480454245177515,0.7900919915297108,0.14415929305032632
21488,0.005762365380541829,0.9171482130746711,0.44642064273716364,0.5062099596002014,0.7457743441406278,0.5775122675442045,0.8013668231750295,0.2554110699767729
248426,0.7008292351321352,0.5314936226240183,0.5438790834755183,0.3703593689167633,0.1710973333677032,0.4410173192516008,0.8402032995711818,0.36352874840609944
114433,0.25595559344281144,0.8431332185805208,0.5003162178741684,0.1022085362764468,0.5414422667735049,0.46456700131171935,0.790933255151252,0.7366641207997772
67390,0.1601477856062205,0.8794649548861306,0.494601143926285,0.15177706530611393,0.6524519939321427,0.3636509967476781,0.9107766549395374,0.6344585907599294
234327,0.4011800293972757,0.8853895741619228,0.4962288934347509,0.1714620761806903,0.5237690054451871,0.3547956766061873,0.7722874032111365,0.6022608167511538
135164,0.831798761259563,0.127658073759474,0.6019167999226958,0.40538457857186483,0.5538866806567154,0.8796624269674362,0.11525268055987284,0.664954042021582
10268,0.8202408094440254,0.3033712407315776,0.6027410634719899,0.09624687666082915,0.07562743677191422,0.7202980606446667,0.8208122585980172,0.03176329755398009
127582,0.8038549719445277,0.6743534705276545,0.5082482989461815,0.5632678759990176,0.8332141011542329,0.414580057606124,0.14051954486359342,0.1489246983711036
59972,0.540511416582541,0.2577151213186508,0.617449749090479,0.3739483622653733,0.6518357011475078,0.4058127724244799,0.7509497439640358,0.02439608395189815
68270,0.8124549688694676,0.5554939768069728,0.6203375659168789,0.005793898691789879,0.8925061750139649,0.29820834927520296,0.23934328921905115,0.4237464149287058
48908,0.7028002334939248,0.1853385769655902,0.6681023833162051,0.030693456611234286,0.8498620529041833,0.24208979148588092,0.35222752342593944,0.5842346288941268
220299,0.06565689669093609,0.6063665287712594,0.4749785666653686,0.7233268431770965,0.776686231140371,0.771733850855494,0.4034181474945771,0.9092562363514489
106261,0.21800445874176413,0.14435657449987485,0.6308038799899949,0.4196816223665554,0.726388491765937,0.4431071352408882,0.9503108451298341,0.585661688346516
150407,0.297379410758557,0.2355906552811844,0.5698165895079371,0.5911723962420755,0.49010759809341375,0.4695345735448493,0.9465523022735646,0.8710952318236886
105295,0.6614925023623286,0.02684442162950138,0.6693791212962034,0.0020575546611008287,0.2902597892005429,0.7837928995180032,0.6631369350035591,0.2477253903046711
117260,0.8266222819024093,0.5097462838274016,0.5518310972602142,0.39390790893810385,0.09330357798492904,0.6337136518684817,0.8506806673453872,0.14789358081668985
140633,0.14953295240731576,0.6907912168213043,0.37665529387678404,0.9578078465606985,0.9831734515297353,0.5326869483710557,0.5757512125051214,0.5491859453092335
167452,0.7426620372748682,0.691141178882347,0.5124947610010676,0.4647187545591728,0.26267175790600195,0.30326055257797324,0.5513835035841788,0.9701074554443762
77111,0.4823169837652222,0.9968409950700864,0.4217899256818648,0.11656615193741987,0.17816789090470478,0.8632946393715621,0.6814856677544292,0.3173019259189907
195764,0.3904267682489638,0.46441867390693775,0.38945484351246484,0.9555606663431342,0.5759898531253754,0.46445671087618307,0.765838060974495,0.8597579828247964
200397,0.45569197526523203,0.6399473426131572,0.569100716038088,0.07907313270611832,0.5478363596012573,0.6512496982082729,0.5362582026718705,0.5385262361143552
190298,0.05660724802670073,0.8472581224444125,0.3664808737464029,0.9055484989069484,0.7787474946717104,0.6930198600981862,0.2574236622643533,0.8350779313714617
157763,0.15689976534450212,0.41547027817557114,0.4940064189663794,0.7654027315686991,0.9126278848165106,0.851039956652598,0.420584231766595,0.7984153046564243
234948,0.3957739777857447,0.6898420625631878,0.5642622026345044,0.24018075525018093,0.8163558025705834,0.6422629084360529,0.5563662562622179,0.02743352591152635
34159,0.7456469709628255,0.24891214034670708,0.4867354773655561,0.8658738456500494,0.8240351776173157,0.5136641776076141,0.5107004780250375,0.29810766812885137
113909,0.4088143182325857,0.49325924614857075,0.4502634630323285,0.9137528322479689,0.8714391005012202,0.6050036566625631,0.5086381172163623,0.529749099864822
11889,0.8456102723032859,0.10841279997334947,0.5837612493526866,0.42880927859530965,0.3871752271055126,0.572018392131901,0.4249767800858365,0.6554302983447855
176764,0.21837370791845462,0.7130235939466012,0.5007603287912581,0.6421467506177874,0.5662184611167612,0.7001465585743375,0.5406195116348544,0.64707214583983
34116,0.604727485009793,0.6736495465951096,0.39029221909860207,0.9346300840688319,0.7406403965729039,0.5916419839997056,0.09227619562510558,0.6636545479369326
224998,0.47245933009369767,0.985210520379327,0.39585242726041253,0.8605785937033917,0.6415234745368467,0.768572488471255,0.12722122885813195,0.4238025415813526
75452,0.010688597494246365,0.6567117461203755,0.5216918120809502,0.47377441424236644,0.408902478270339,0.613573066954758,0.9023444965508254,0.7480159150373584
222759,0.6721776040651416,0.7120281477006837,0.5640459254441254,0.3285239763221877,0.814825646464508,0.4261361317950665,0.1215900218868827,0.9502774336083823
184638,0.34246677639431705,0.13496309369515186,0.5787225080759941,0.6448179150008719,0.7200756776971182,0.4853346506183111,0.9275145710555016,0.5264319130601491
85724,0.35872785232704,0.9815588199794719,0.45259593922076485,0.7107194246072244,0.7737691614175954,0.8779425146247585,0.15479256792173893,0.3055527584985292
104000,0.4459619469163661,0.07566998455704645,0.6430692322277586,0.2336782525024156,0.6607558855752873,0.6666097733189706,0.5311755282446338,0.6577310377447201
13951,0.2611693613224332,0.5146855313974672,0.5132609005816566,0.7250197197002082,0.9655848599948166,0.7620815880513739,0.355711954124618,0.5693384429137183
114690,0.41537743355683476,0.7752687862129244,0.5295638067422376,0.18925433022282268,0.3947010350995875,0.7851231305438066,0.6534101142975152,0.2977888289982089
110336,0.34144381189774753,0.9861795371238045,0.32808529851868,0.9792156055584048,0.49199950791467933,0.6747330698587174,0.28191113958714636,0.6814746992183318
221287,0.3314392864840817,0.11638426199875987,0.5055013136376687,0.842872306024409,0.9148845025372765,0.7422838241095127,0.7226166789722903,0.8187589108686734
185577,0.3308975330712167,0.36694081364870457,0.5742350008903696,0.5317232923813553,0.687383311837807,0.7678077246651425,0.43475288494348924,0.8462763837115425
184394,0.5755584485786678,0.6541993802925197,0.44665892827764503,0.857888933178578,0.49004683408531563,0.897287538072686,0.1487205699538323,0.6871246759835807
96422,0.14551053898079092,0.8560916702696434,0.4970972837519044,0.41306406414843966,0.6941448082143464,0.70689510941449,0.7805587240679158,0.07582099141647436
111267,0.30063659324157377,0.683721083633056,0.3721960910761063,0.9549787283044612,0.8181114302215262,0.4538428203625728,0.4149831717964185,0.8612167053928471
116950,0.40337767534662405,0.9799067863674152,0.4486213477114352,0.4791801437661126,0.5033140030295539,0.5513674608067577,0.5001093702612942,0.5091185702342905
117390,0.45456247156396756,0.09134718744233208,0.6561548701487482,0.12617474561304376,0.9274694341555109,0.15495821642434615,0.6621647886857915,0.4495038739998302
112961,0.7330477858407252,0.830611888292358,0.49924043170442917,0.42498289782474336,0.2817395795736308,0.7889378806699491,0.2174322840258767,0.7332817439450364
122205,0.8611752119313909,0.30275835381297106,0.5970693730012011,0.47951063391589677,0.8860785538268501,0.10577927126187571,0.2728329837762951,0.7813403531093676
27368,0.44092172921504824,0.6331049186986899,0.4686603889094389,0.7926263443946036,0.6157528858393361,0.47832679919132115,0.4436043398064518,0.8458931711864265
120317,0.6641541184258706,0.9743623995872776,0.3778732251067055,0.9420903178172144,0.9183628915319423,0.28926613115244487,0.4705138450720414,0.13471495431772676
99443,0.36701686378342546,0.4540589315435484,0.5959754750208075,0.2727391028026658,0.8138738982532242,0.4689412019865247,0.5283856133042517,0.5733833178079502
105631,0.7637782662009135,0.8543076454964167,0.5012418173216362,0.17590000057957558,0.6085004176625374,0.5844348479468691,0.10146034480389683,0.7347112163691603
91890,0.024131124137159354,0.7707594294374074,0.5072742266394692,0.2774636329288084,0.7190381958307073,0.4502468340862399,0.939651458298138,0.4191701086378153
41166,0.376509322738884,0.7433740884053318,0.44556344911784035,0.8923478603857606,0.8676000019001266,0.4974974100825099,0.7037292839997172,0.13956985450609327
233384,0.607187304188927,0.6857990043189834,0.4001693841354072,0.9233331785988945,0.7422766263428444,0.5058777865137196,0.18559868458407916,0.6580545616045166
189438,0.7655602030409389,0.2541292420183227,0.4644073212388079,0.9183594588858052,0.6016294374816044,0.3972216510397038,0.8826771226832278,0.3249266257026614
237666,0.5331160946812235,0.4204391628184186,0.5795997708931151,0.558866595782939,0.6811833829040171,0.11263941550579074,0.7891146617685564,0.7576300884795084
24971,0.05846970340417383,0.9501353140238761,0.4726605793708247,0.21410130084238307,0.6158416471797342,0.43289824842405433,0.87071398158887,0.867658580027395
42284,0.8757350977538435,0.003917969352910449,0.6305996350202363,0.2569285821703864,0.46964978852410955,0.7162114501581525,0.3328755911061608,0.38761006666459363
170051,0.0007275262133291295,0.628108238701022,0.5476035115480744,0.4119108886447815,0.5619631477494226,0.529450723575486,0.9908512372026883,0.572467740882032
8171,0.11474155155140156,0.03243601685546225,0.653847418588875,0.281679300571583,0.8247036397154267,0.8628276317870859,0.8670037786481252,0.27960723201384174
242313,0.8812074915095452,0.7137782169266171,0.5087560627433056,0.008667633545194101,0.2859737538866202,0.8282969666549472,0.2502661642025982,0.531451867263728
120116,0.770461038597811,0.5175926660369917,0.507689158167437,0.7233901378124009,0.8895359669408112,0.12928677264955848,0.6030084991219675,0.04246580560015184
42983,0.5504237259346132,0.6408289750591892,0.4514381046081129,0.8812705075461312,0.8048770213543569,0.31502713348950045,0.5955900837983282,0.4413275166713084
166912,0.915226257562673,0.732599695217855,0.4742925342678996,0.44664260108587645,0.43345320854421554,0.49754092794183624,0.0905964095813492,0.6722660953308627
102179,0.07161698656012633,0.7580730357732401,0.5046943975069789,0.46264757482718943,0.5851379867143156,0.4413867970385224,0.9822418823129057,0.38791646095415994
18917,0.5482246226504851,0.12772000280384121,0.5522041587816153,0.7463960641270662,0.8981855954755487,0.2138745747153681,0.8866745426075363,0.3874230899943506
234016,0.8816658701303167,0.2506352206950848,0.42707767693183185,0.8315872893363068,0.31086254428282545,0.25744524494458476,0.8072688982930906,0.8695427819787147
137567,0.7308785664354235,0.26268953220816443,0.585754023171827,0.5199140620006623,0.33485434102145784,0.8403957515264645,0.46173524080167566,0.5979681419063402
64877,0.27027243530495626,0.34088888278170704,0.6212098331832626,0.1700334726877867,0.7936486304413656,0.3790052927933739,0.8309175633068404,0.24069928383598668
95719,0.17480936602357017,0.49221137014848676,0.605948338296419,0.24505899032578526,0.6401113792590953,0.23469968370705066,0.9612513298103782,0.9891509648740374
98337,0.647790384321677,0.2687538770826922,0.619550238716689,0.2308515531416491,0.4194773585094202,0.798217006440387,0.37971696791947773,0.6255695670286924
142591,0.4687620356887293,0.676137759662371,0.5510017242126669,0.35429757132599965,0.6260146279216605,0.7631101948066755,0.35050762275546665,0.37988873909644505
181732,0.22964526361505397,0.8131606919205895,0.47813384415515414,0.6172731890880155,0.4846417208296416,0.44212789508828737,0.8813718590785034,0.4373142715475714
196950,0.5131791953031929,0.4207690126809566,0.5986529307925375,0.2911315734625854,0.4703519366161803,0.2479580618358352,0.9031031468287868,0.3161634050090864
134279,0.6654898147546803,0.3305556237700588,0.4738246097055988,0.8374398719686901,0.9633111997838424,0.5123488282151031,0.2403855802434677,0.4825747790105493
