,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
19882,0.5018438865846654,0.8836126568813729,0.466614958847119,0.11901998013803387,0.18739493352923423,0.6470929403043036,0.7683229691984714,0.47359156014160714
82281,0.4937019417147411,0.868658296425439,0.43605116614418993,0.7576852941120881,0.5376759500412803,0.1947572291583308,0.8038611932316784,0.5672567730286425
219462,0.8327622995751796,0.19308464029840677,0.5515876184362192,0.4176002900145221,0.6696997199906314,0.030507605607152027,0.6506603118778062,0.10783088993222985
123900,0.7053141516243266,0.781379867451966,0.5253772081972605,0.06794155025709288,0.19567353345887778,0.6224707414517419,0.5828127121235472,0.8633892076963045
130770,0.6380765953604974,0.9927387960887103,0.49493043993778213,0.44050553352049493,0.7311912093012707,0.07604647614787989,0.7666638268521961,0.14893338523379243
54293,0.7040189420756624,0.7269959300762795,0.5328508642526378,0.35534198389715815,0.41695322807847646,0.11521192957790716,0.7964294954240937,0.5422099736102695
93073,0.6590965802252833,0.6658071123254338,0.5391763508684486,0.037635449458844485,0.8874586227558062,0.21453936253439954,0.38603894221623436,0.15448986747554563
169705,0.5992848969060118,0.4948104546150162,0.44602520611459984,0.8471647975448086,0.004162933137607942,0.8103750171355392,0.7020886200191844,0.984087874326449
115802,0.5123840309424361,0.6622493774724149,0.513541953186719,0.710403002695603,0.7451717625729021,0.24725889587649608,0.7992845592991653,0.18521153967075346
62850,0.48072546885927897,0.46245321722569294,0.5517525314387094,0.18036397713472793,0.5678223530002667,0.10283513781016354,0.9009436904112583,0.22105630171929436
247444,0.6914057670823242,0.614340362433428,0.5756477354850329,0.5139586848016209,0.9177450308704839,0.10817333741059836,0.32408091043897674,0.7301256578042665
36842,0.6491435406842213,0.5395653459500631,0.6140901693060625,0.3698873185964245,0.8298116421909376,0.46119344907698373,0.3769758402875206,0.03805446946508912
151673,0.7473517526764677,0.40555264162988136,0.6329489342441699,0.2591215447104944,0.9608582214901011,0.7162383778372508,0.02097656199435737,0.2970895429735982
59972,0.540511416582541,0.2577151213186508,0.617449749090479,0.3739483622653733,0.6518357011475078,0.4058127724244799,0.7509497439640358,0.02439608395189815
131506,0.8255343511035517,0.7257936995045458,0.4359559331095269,0.8496402470786529,0.2923670675143023,0.3750536944018331,0.7922152342931199,0.5228711894790754
232227,0.594738243247261,0.6891586074757886,0.45533646237269637,0.8023524873059638,0.6668641050471782,0.16985950503147731,0.7262415153165318,0.5125121987516301
46143,0.6661007082880246,0.1262738485249448,0.6372467761011665,0.34906646992964613,0.5935919056527249,0.284899939085778,0.6528018860481366,0.390369200846213
165558,0.33735409475290323,0.5114544379343344,0.5670758710246808,0.19962553978533576,0.15385394667318023,0.8426721358456288,0.9806576367521541,0.16585910488003414
230241,0.4765069001084956,0.8786146648790686,0.5025009765202442,0.4939588596378334,0.5154438405236268,0.43776620062977767,0.6863187781119806,0.16415494354704085
174931,0.5354290145075589,0.324359038314376,0.6329283747936226,0.2656122733585322,0.4886575993604191,0.7986383734418833,0.49099522501658766,0.6755692505437811
58975,0.7249828353773808,0.37189524602140056,0.5687959064461606,0.4786425233802023,0.2079606777517884,0.8624193915769811,0.47678600171102115,0.7284434753570811
