,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
187684,0.9741194643775548,0.2054585832397833,0.6354017555912194,0.14219465938383283,0.4002674631523316,0.21226056623732767,0.4302449681828111,0.975891107276146
123858,0.7554222082168874,0.5886114092556065,0.43072989576428966,0.8207121282433079,0.6290128770151858,0.37273266241580566,0.16140120954432569,0.8971084355343665
173754,0.784659519332394,0.3390445855301493,0.5350681294617803,0.5285067419749043,0.2585116277833025,0.513419912286327,0.46791392594473247,0.9280851866272964
10619,0.9180889316317502,0.4024410014168257,0.6048638537351587,0.22635303826275377,0.5406500036457045,0.6370189170333114,0.04640921611435359,0.9084740493938556
47162,0.6839034861191845,0.08881728690328403,0.6391829748515067,0.19379153089036788,0.7332825128732239,0.6505746657097736,0.14597124543500353,0.9758597716552996
65388,0.8872729631329236,0.05646416759901456,0.5888539770386995,0.24346857884570355,0.04535405278925696,0.4541838722822687,0.7472736280283773,0.9024230627680653
130943,0.7492780293022113,0.1875072022391054,0.6498505825522631,0.020721032464701514,0.46512147875642373,0.8116219374180633,0.2708216408602141,0.7836290549058258
121177,0.8206339205526985,0.8221898773186559,0.4664195579236533,0.4778672234387042,0.44918839742898736,0.383332398800132,0.18056104116201008,0.8508231977319272
94849,0.8806573507573539,0.28345241319389264,0.5102803993153916,0.5783693658172552,0.10029977684122886,0.6944727086122772,0.4687849664556901,0.9716789964322585
217433,0.7938746006192776,0.3073894872909048,0.6000090704915267,0.07781472640081023,0.18882606480995767,0.3682972431043114,0.63525447576821,0.9505113635920741
88148,0.13989962913084228,0.5486180990135053,0.4089228911301181,0.8470920464017476,0.9756103086049135,0.40686360862194754,0.9581153173120255,0.21161331067713984
56344,0.9540721283582446,0.6627843774882495,0.45830687460679237,0.455959724932061,0.20728921455346613,0.4208331537748767,0.3160420584348448,0.8150028218963135
84363,0.5929075343806507,0.15926700391026508,0.6144612432219971,0.18331371567088328,0.3086305179235694,0.7673766898197778,0.4863383608285695,0.9020389868254579
177714,0.8881024515156258,0.9644180521882241,0.19996084549767817,0.9540524343102905,0.44890958508748047,0.22864710251914014,0.09325522399196955,0.9155110968372403
25610,0.9511119980999247,0.150440163654485,0.4056341742974887,0.7906813296109099,0.7246419780579919,0.42010863119917036,0.069684012555144,0.9123872810713517
44669,0.7943674914399927,0.23605159999708433,0.5271608647636619,0.5081257370271862,0.2581264173440892,0.3875898731423324,0.5788640284231515,0.9424883902955825
202107,0.6476295442801615,0.3516739776381594,0.6079400837303467,0.05789705956346062,0.17120924533869475,0.778037228051446,0.5642335668575654,0.9815213414026065
220850,0.9172588551865258,0.7624522209283698,0.3860848298399688,0.8130391822323547,0.5406992376322117,0.27433219771944145,0.0309980382634886,0.9742494566507772
226000,0.18319115008958833,0.503305807395413,0.4405614233813318,0.8190912736619919,0.9628025289767379,0.6510977467751583,0.4807453306164154,0.5600499653569867
24594,0.7314839231111006,0.594882632422721,0.5414942407483108,0.48736765635406837,0.7582023798670534,0.3561377433722925,0.10577720873122222,0.9851873670076751
