,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,sim_liq_density_240K,sim_liq_density_260K,sim_liq_density_280K,sim_liq_density_300K,sim_liq_density_320K,sim_vap_density_240K,sim_vap_density_260K,sim_vap_density_280K,sim_vap_density_300K,sim_vap_density_320K,sim_Pvap_240K,sim_Pvap_260K,sim_Pvap_280K,sim_Pvap_300K,sim_Pvap_320K,sim_Hvap_240K,sim_Hvap_260K,sim_Hvap_280K,sim_Hvap_300K,sim_Hvap_320K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
0,0.001684161857491984,0.8444498666255881,0.4602836189505265,0.7672844905241499,0.8617516381226834,0.4895883124885194,0.5563871061271014,0.8344803252917673,1105.400683788889,1044.54461041,976.8384176433332,897.1470924377778,792.6744869199999,8.885998104400002,19.152535298777774,35.57570136777778,64.14469660744444,112.81384075055554,1.9658099188555556,4.374954342177777,8.143467067655555,14.162704458266669,22.9659936364,222.4949592998489,204.94606835059093,184.7723321438893,159.4297947431278,126.12981517398833,343.55508335793934,423.0958698471341,609.3768424126562,5.914791221518152,0.6911991696937616,16.961604950241963,5.405237392530601,62.47527347344374,2.545573392337225,5.051675640469848,6.675149981416002,2.0204513768873964,0.6721743500811429,1.833904907857515,True
2,0.054063863620517086,0.8356133569722692,0.4131172523536052,0.939697222366434,0.9247304648176277,0.9886853538400158,0.2010055495084855,0.4633465944405625,1114.9055579777778,1055.3420960333335,988.6057914933332,913.262784208889,819.421060888889,8.720500748877779,18.59253461655556,35.75409290755556,62.51870193711112,118.89627470766668,1.9345978191555555,4.251791148411112,8.192743656688888,13.911708466955556,23.511338222967776,222.5936424943617,205.35221001581968,185.03661638908272,161.4250170257292,126.97627869530767,345.88496596599225,436.38960350612376,103.27357913695391,20.402666055914338,0.9892384217489454,21.86981710733021,2.4660818236237217e-05,29.047825953221555,0.9393098929399056,4.722446271518451,5.990507156949798,2.4893656763468837,0.0014357482341434617,1.2504880524649102,True
7,0.23697191131246914,0.3756250581746363,0.597086491545623,0.3176770797956008,0.815909493518064,0.13606916687998255,0.9753103926843857,0.4744676602550493,1139.4723186,1078.5146477333335,1009.4785572933336,932.3061048733332,838.9793283411111,8.3752745593,17.14366814833333,32.743315650444444,62.48934169333333,110.67611251622222,1.8664386445777776,3.9456482935222223,7.567995434644445,13.897217406833336,22.73626114753278,227.9095535785696,210.9301790463354,190.6476005257916,165.31360996386368,133.48534027370133,347.11095815380355,439.5910312384479,148.7177970005314,1.2989546331917923,0.40419014250537355,98.60874482727297,1.5152579764154588,73.8058177399876,1.2368488285240504,2.65683796141299,2.971524203751752,5.697410765651998,0.3558916831859477,1.9932787096166815,True
13,0.38379739906212196,0.32816192489744606,0.5101108256112212,0.7279650605845055,0.5766152152695291,0.999480090615734,0.2923341759495767,0.9966124678950726,1136.7590642,1074.4612753444446,1007.1855403444443,924.7015475555556,820.1161522977778,8.997170463066666,18.070494934888888,36.18577439255554,61.81953061688888,113.95197205622223,1.991691889766667,4.140597090166667,8.250031544433334,13.777292301833336,23.191792969022224,226.21247662184248,208.70873594933366,187.49773245144402,163.61760042309774,128.32418242389085,344.7525948492087,434.52691152519253,40.89874959071219,6.000758161159119,0.7252402290484378,54.63208781670492,1.2710423740306995,12.439104906535908,0.549924714548814,3.8998391136326847,5.691697805225498,3.9270499733791797,0.325952686131397,0.8183089385597521,True
19,0.518658035008241,0.31138299590673496,0.6071266007316541,0.15444416039988937,0.2127486444609622,0.4518727744791428,0.9803336867252418,0.2167228130194694,1141.483231722222,1081.0324155444443,1017.5990739833334,940.5774633833332,839.6192451388889,8.718370645222222,17.44115089922222,34.79969371522222,62.72681134022222,106.93583610977778,1.927733735177778,3.996690921122222,8.003637367544444,13.948928822055557,22.250295104366668,226.06332101362796,209.50216425162435,189.2843533355021,165.24086591202843,133.9365598010208,348.24676575349326,439.364756234283,265.97056065396777,1.989652580124438,0.24869699132392648,81.35245647669808,5.60158013190856,69.9691468589762,1.6769886279328832,2.354998591253415,3.3190615247092485,5.296231694770716,0.6842736652865933,1.9407787086503463,True
20,0.551224161545182,0.3217863772293101,0.6062637989149876,0.33040393092662734,0.6893317505067437,0.8440709798495573,0.2574105665917486,0.2985044307910456,1141.0037801888886,1075.0050120111111,1008.89799899,919.8448972666667,804.9993737055556,10.095720696022225,20.427514350222225,42.87796951511112,68.25144926533332,119.98776096922224,2.216066507555556,4.628845330544444,9.5071587642,14.94026572282222,24.21966433515556,218.42261404985308,200.52054886099512,179.0317470889227,155.02959285300878,121.13653587752556,341.50789183928424,435.0956175254643,127.00479503056026,52.95622780094806,2.8808225906344305,4.90931011119969,19.115329768997295,16.774082914890478,1.0393727291983206,16.293094619122776,16.502527949584827,1.2541496941120467,1.264053475400646,0.9502592866506543,True
21,0.5547321628780534,0.2726115765805243,0.6562815392728402,0.27356366095603807,0.8630297006122949,0.9203441729119208,0.09289163241693642,0.9076764887734541,1129.896316411111,1072.1215801333333,1004.3250856511112,924.599421941111,829.3680397655555,7.903492735688888,17.804279336,32.76613181044445,59.40821111000001,105.96920871044443,1.7638914699666666,4.071773646055555,7.573389397966667,13.362668311088887,21.814835715224117,224.78771633573538,207.4636717093205,188.58969773765259,163.70411838405283,132.0394130826696,347.4905915859177,432.2233773903774,20.60571736968646,2.7437821991023013,0.029548307908976827,56.794490150384014,2.5940052566288565,1.496652239286567,0.4431942581567008,3.245441297444475,2.2138928112342073,4.397908049341463,0.46565039491086185,0.2838462622685335,True
22,0.5742288608619601,0.5504665688508971,0.4964874246519631,0.7451566526138067,0.8013864525639148,0.28974384834271794,0.28265151521090526,0.9525995185913082,1115.4409648888889,1057.3481185,988.3718848744444,905.4381328333334,808.6061780311111,9.06565018478889,18.827487208,35.01987988966667,63.24688097777778,123.36465577222222,2.003581761655556,4.294786992455555,8.045392474288889,14.090441155388888,23.82925618074667,222.68266095651632,205.69705861059472,185.3504275390608,160.09669368993895,123.95173291186539,343.66980040742675,434.0696481627917,169.62771817030807,42.006598473807365,1.2997093135368123,20.590748980700614,4.884982239010946,9.422739843330334,1.3296004594336677,6.412427173942543,7.113777225317559,2.200719186169487,0.6390076305577792,0.7122153509957494,True
23,0.5909004420794673,0.1468905213067351,0.5225309311840922,0.7531752218650595,0.9641341507412605,0.11904206804034537,0.8895297091456877,0.23564459255107878,1128.7301013111112,1069.4746650666666,1003.1377909411112,930.1572962511112,830.3413286677777,8.301494451055556,17.332500730222225,33.827592626777786,60.95011342955555,105.92432178133332,1.8423758986333332,3.977372130711111,7.7902516824444445,13.651167837244444,22.00310406245556,229.10626558762425,211.59672137346075,191.12609935771042,167.20221142575843,135.02204568635034,348.175055548267,434.0707326831352,28.317660729400586,2.185132779289825,0.09511158083887516,122.18283120651499,5.267279969631081,9.429399211274648,0.49334858705537926,1.8959154447368767,2.2843039491571364,6.414512478926966,0.6635409819206045,0.7124669798457519,True
26,0.6242103283877671,0.44888860792550844,0.5387045420085581,0.5492782670833228,0.7163265942844461,0.032150465760646146,0.7747752690253067,0.2622081163864469,1132.1071384,1069.5993547333337,999.1488432044443,914.9704448911112,808.0114819966666,8.763980248988888,19.750378815,36.293130171,66.92809358355558,120.90883496033334,1.9425807023333328,4.492092951722222,8.314340520355557,14.89163325532222,24.195431530433325,221.24143440023747,203.4480658333526,183.52185566554328,157.08029324629007,122.45028597108283,342.28679010870417,434.90751752243364,58.373747298086265,37.05515790771346,2.1594943027344784,9.606522097739136,12.911157322906178,15.268693188125903,0.667746704396732,8.263105769111803,9.705613087151555,1.4963941820026239,1.038860266941086,0.9066165945321663,True
