,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,sim_liq_density_240K,sim_liq_density_260K,sim_liq_density_280K,sim_liq_density_300K,sim_liq_density_320K,sim_vap_density_240K,sim_vap_density_260K,sim_vap_density_280K,sim_vap_density_300K,sim_vap_density_320K,sim_Pvap_240K,sim_Pvap_260K,sim_Pvap_280K,sim_Pvap_300K,sim_Pvap_320K,sim_Hvap_240K,sim_Hvap_260K,sim_Hvap_280K,sim_Hvap_300K,sim_Hvap_320K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
2,0.054063863620517086,0.8356133569722692,0.4131172523536052,0.939697222366434,0.9247304648176277,0.9886853538400158,0.2010055495084855,0.4633465944405625,1112.9733679111112,1055.3420960333335,988.6057914933332,913.262784208889,815.1511884633334,8.330201953466666,18.59253461655556,35.75409290755556,62.51870193711112,110.31232360588888,1.8565695331,4.251791148411112,8.192743656688888,13.911708466955556,22.64344912522222,222.33264118548317,205.35221001581968,185.03661638908272,161.4250170257292,129.509278915824,345.9725026215517,433.9669362227447,119.83190495542135,13.271879987552316,0.8103021634508194,21.77056471803622,0.008556734993940067,8.802710549834712,1.042357916965826,4.740838299099447,5.927829041295837,2.5659092641951413,0.026744137143435986,0.6883842744187287,True
7,0.16343928623018536,0.5036719817813025,0.5552458343675247,0.5682720750721828,0.7677331996610081,0.47107775973811467,0.8114715200290312,0.4415025673988065,1115.667876611111,1054.8265558777778,989.0898573944444,911.7186094488889,806.5344105977779,8.212743541111111,18.17568935711111,35.00999898522222,64.49479071255556,109.53731148900002,1.832603969733333,4.1628103282,8.031920562622222,14.21571856182222,22.5066800466,225.65129556868774,207.57851086623486,187.5912122429191,161.89528638610264,129.3496932818351,345.1195121885184,427.9076081080417,154.13943366189113,3.110884245122236,0.43948974539756824,46.69144281524973,0.5783417114120676,9.562887613449435,1.2726758900454151,3.3439209800953407,4.790471639915173,3.7172629541955646,0.21987042080536487,0.7174923183197912,True
8,0.173611694358245,0.5858446083802972,0.451970739802282,0.9320348212429413,0.8990872433426323,0.749123951814381,0.9123345327796403,0.011261414613829379,1130.2454574888889,1068.184507022222,1004.4630283877776,923.3395885877778,830.7565736144444,8.210716630977778,16.62626808755556,32.45492496233333,57.05911297444445,103.69073370844444,1.826237620188889,3.842411511555555,7.5188738927333345,12.960464839855556,21.88862946706556,228.19861552993925,210.84487600657772,191.44237272031407,167.01757377418448,135.27564739373662,348.08625076254884,430.279530278383,20.078922956286426,9.484639366156824,0.05772887692594331,116.0050807945285,4.867542427247373,0.5190766197668883,0.3848174696692171,5.210179410447468,2.660622085716472,6.307551606994839,0.6378659542468046,0.16716234840301797,True
10,0.18328838313489806,0.2736644476064393,0.4256087231430571,0.9788234140933788,0.9687271193845044,0.6467115532874917,0.9826558867816555,0.5307746865693045,1113.4498516666667,1051.8463459333334,986.4258627977777,907.2966799233334,812.7833449677778,7.983831698377776,17.20985876533333,32.862294323,60.04358667522222,111.45242892022222,1.7813971106222222,3.9641211038,7.589368771744444,13.427199960266666,22.690927564755555,229.13088430862408,211.3642847596117,191.002105313318,165.76805829320358,131.52652443993168,345.8492750252313,428.4639097333225,186.2150051659353,1.4494218186057484,0.30268666953519513,103.44998159546746,0.0009440240745373988,6.431753840736305,1.3650492875164326,3.2700766380579256,2.9709870289955864,5.637047138922231,0.008883131365994678,0.5884200154704154,True
14,0.23697191131246914,0.3756250581746363,0.597086491545623,0.3176770797956008,0.815909493518064,0.13606916687998255,0.9753103926843857,0.4744676602550493,1139.4723186,1078.5146477333335,1009.4785572933336,932.3061048733332,838.9793283411111,8.3752745593,17.14366814833333,32.743315650444444,62.48934169333333,110.67611251622222,1.8664386445777776,3.9456482935222223,7.567995434644445,13.897217406833336,22.73626114753278,227.9095535785696,210.9301790463354,190.6476005257916,165.31360996386368,133.48534027370133,347.11095815380355,439.5910312384479,148.7177970005314,1.2989546331917923,0.40419014250537355,98.60874482727297,1.5152579764154588,73.8058177399876,1.2368488285240504,2.65683796141299,2.971524203751752,5.697410765651998,0.3558916831859477,1.9932787096166815,True
16,0.2625705024691139,0.3683866768866951,0.6113811355710951,0.09636356874636746,0.3507362598979944,0.7501133398994576,0.7813165436565188,0.5998829786061827,1141.5600522555555,1081.9380475444443,1015.767040347778,937.3376018644444,831.6705715688889,8.618956908266668,17.582989465666667,34.244553845222214,61.29338324066666,98.850922067,1.9046732492666665,4.015615235722222,7.841508346566667,13.735037901133332,21.08870421772222,226.48316979322163,209.74826250543512,189.61406061189604,165.01728514605875,134.99630758307362,347.9838424833617,431.07336873898623,195.69995240246027,21.44368074326423,0.09051287174455286,88.43118834321794,4.426153194797477,0.005382971860429917,1.3951179109255842,2.6448067034639875,1.885422784148159,5.537369507938352,0.6082579170121686,0.01702290927754815,True
21,0.3626788497607531,0.5376360914766533,0.41988481106907105,0.9027500644983154,0.3742419645247829,0.809712870336678,0.5668760691348297,0.7310450543604632,1121.4147485111112,1063.205396122222,994.1112335855556,916.1126951966668,808.0773202755556,7.8354491399,18.319178436555557,35.842022678777774,65.05429575933334,109.17385148411113,1.751651203166667,4.194372739744444,8.147412154266666,14.357827234200002,22.50493007779667,225.96107186157926,208.1577345707228,186.99783629845535,162.48283790621522,129.90364558868873,344.7389788771297,429.04899811066997,65.56005648200603,4.644635340494361,0.5250764882966065,50.41901016394051,1.3019292028362306,3.806408372169346,0.7804689218566618,4.996053376656962,6.319811327325688,3.9017864842955365,0.3298893034781755,0.45266865181671223,True
25,0.38379739906212196,0.32816192489744606,0.5101108256112212,0.7279650605845055,0.5766152152695291,0.999480090615734,0.2923341759495767,0.9966124678950726,1136.7590642,1074.4612753444446,1007.1855403444443,924.7015475555556,820.1161522977778,8.997170463066666,18.070494934888888,36.18577439255554,61.81953061688888,113.95197205622223,1.991691889766667,4.140597090166667,8.250031544433334,13.777292301833336,23.191792969022224,226.21247662184248,208.70873594933366,187.49773245144402,163.61760042309774,128.32418242389085,344.7525948492087,434.52691152519253,40.89874959071219,6.000758161159119,0.7252402290484378,54.63208781670492,1.2710423740306995,12.439104906535908,0.549924714548814,3.8998391136326847,5.691697805225498,3.9270499733791797,0.325952686131397,0.8183089385597521,True
27,0.40103482379301847,0.5352337705041511,0.5769156827852461,0.4855334860336721,0.8127358595843631,0.7638792893171585,0.1455003615999666,0.9805793550907164,1131.5251536888888,1072.7120466666663,1005.4124646666668,926.4041604511112,833.5064649477778,8.4253616534,19.337068188,35.022023291333326,62.329457282777774,112.97909942933336,1.8726727180777776,4.3848894567,7.980385846500001,13.90583133902222,22.835686296411115,224.11234764448727,206.3962767054505,187.08145044961,162.68595476475605,130.5770892355386,346.92462570051447,438.7416054443546,43.605134063078495,4.153981636466993,0.5070662153691174,41.09327433724835,1.0912428541753534,59.93245485606085,0.6446929858572197,4.079900614434541,5.172827689568219,3.697883537494599,0.30201968905819154,1.7961961587829711,True
31,0.43586000724272833,0.9547682745783372,0.4511574058451955,0.7223853937190041,0.40407360763426137,0.5888380216650659,0.24338162226795487,0.9057754855308682,1104.528062322222,1049.1793365111114,982.2484012855556,907.166830091111,812.5819938466666,8.815786443155556,18.809619679666664,35.3844698261111,62.86756458722223,109.61366510133334,1.9511338340555555,4.28673401198889,8.086358136222222,13.924140717966667,22.439398840144445,220.4972581416375,204.48831552202094,184.42850364208283,160.69249443844916,129.15979085957096,346.77224605076765,426.1083220471893,344.5289559003355,1.8859501050081906,0.23493187225936216,19.049332895226065,0.7961030151104738,23.92851319401438,1.827175810802711,3.0334175629485807,3.6427864715396012,2.5696433594188486,0.25796404844675996,1.1349600818586334,True
