,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
1768,0.8156009261933166,0.9231201542055164,0.5097178763443939,0.4090922392959658,0.9974409850998096,0.1951099509627144,0.0675304779001485,0.4040512761910251
1614,0.9540604867384612,0.3815077681223209,0.5912771795508006,0.3147152675127002,0.2105019749284327,0.979671663409352,0.2406729657047378,0.5542150753498835
18,0.377554033070296,0.7189722901288552,0.3767455647335685,0.967493824027684,0.8181927404008176,0.4975813244938445,0.4472595227060694,0.435219384035648
3783,0.6536441860910263,0.9366011752987212,0.493727872062798,0.3119759440155055,0.7144814439944405,0.9421663863654214,0.0648404635240779,0.0448350020152788
380,0.770461038597811,0.5175926660369917,0.507689158167437,0.7233901378124009,0.8895359669408112,0.1292867726495584,0.6030084991219675,0.0424658056001518
30,0.4945454853446608,0.8130787023826193,0.4981402643760771,0.5221251205965478,0.2965093262509614,0.1842169694528062,0.9064416847045086,0.9806263881883668
354,0.8446122525536451,0.0278450352977706,0.4427397220450922,0.9187567950514798,0.8249443439091274,0.4463681620283584,0.5735622723626209,0.4752698811508777
180,0.9172588551865258,0.7624522209283698,0.3860848298399688,0.8130391822323547,0.5406992376322117,0.2743321977194414,0.0309980382634886,0.9742494566507772
1225,0.4358600072427285,0.9547682745783378,0.4511574058451955,0.7223853937190045,0.4040736076342613,0.5888380216650662,0.2433816222679549,0.905775485530869
176,0.7065861065756405,0.7596840025629791,0.4753827098661454,0.6057986935035089,0.1990304987866266,0.5934331084795137,0.5188675622175253,0.4063959978212587
14,0.4010348237930188,0.5352337705041517,0.5769156827852461,0.485533486033672,0.8127358595843632,0.7638792893171586,0.1455003615999669,0.9805793550907164
1183,0.1634392862301859,0.5036719817813026,0.5552458343675246,0.5682720750721831,0.7677331996610082,0.4710777597381146,0.8114715200290319,0.4415025673988067
995,0.188353856912313,0.9526755498533348,0.5060992170759105,0.4079777691123621,0.7199835316612551,0.7780329318295599,0.401453068495322,0.5264255052219079
2,0.3626788497607534,0.5376360914766533,0.419884811069071,0.9027500644983152,0.3742419645247828,0.809712870336678,0.5668760691348298,0.7310450543604644
2155,0.2625705024691139,0.3683866768866958,0.611381135571095,0.0963635687463675,0.3507362598979945,0.7501133398994577,0.7813165436565191,0.599882978606183
1313,0.0718481786419005,0.7428337307662651,0.3441012814577532,0.9655051417299608,0.7902796389821943,0.3176634985236562,0.84719498245281,0.9527166200325328
3105,0.9485793932654176,0.5986561258957219,0.5081940812365819,0.2848996285674046,0.3875002024570355,0.0565722549515766,0.6679005004611149,0.226993069391604
352,0.5394882525535539,0.1847954181801184,0.6657827060534226,0.1128193060380692,0.5643869289232354,0.9755339495784244,0.33205236927379,0.44449500639715
10,0.1832883831348986,0.2736644476064401,0.4256087231430571,0.9788234140933788,0.9687271193845044,0.6467115532874917,0.9826558867816556,0.530774686569306
724,0.4455495316834137,0.8141275411544678,0.4133036706670473,0.8427711445700486,0.6891902479491401,0.0757311206427927,0.9405064355012832,0.4774085441370438
111,0.9766326727212584,0.0035119819327949,0.6300957073181115,0.323119127419456,0.4489185224346692,0.4624277010120529,0.3649934924703503,0.4341332019603361
4557,0.9942380777836888,0.9111676713907078,0.4039492096812777,0.6166343771574053,0.0756613065603454,0.9720131459614084,0.1251054574377501,0.4197183104566785
300,0.7551698132229125,0.4626313538602449,0.6310208098223088,0.0653840248872285,0.4535451279425846,0.4059214136310143,0.3863097301302755,0.8873029921683299
17,0.1604789649603147,0.7890976496180006,0.4483907816221678,0.8091212107292061,0.3787499123708833,0.993284219980906,0.703191507379325,0.1482157082437216
189,0.6007279983221457,0.4299048939606701,0.5869362587266965,0.4855703396488432,0.5597194519068133,0.5491597636740132,0.5866758176881842,0.1128287304196471
