,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
54827,0.8104318094126394,0.299450647054584,0.5299013262590174,0.877795535834366
13979,0.8231406225078052,0.23954655639997016,0.5528402877812516,0.9355775016599293
27728,0.8059707554129145,0.11468770642507467,0.6245492755386797,0.9899205489136776
77028,0.8036672785010269,0.15670581563655536,0.6807519989375733,0.7441225780920805
49699,0.8199910450687852,0.33018181830315924,0.5580884634498579,0.7668765567444022
45691,0.79580001741653,0.11367070075401775,0.6559216320623193,0.8749093402047462
52845,0.808953586396962,0.30818180365620634,0.5833221340693222,0.7322373373533878
26443,0.8176364518123401,0.15994004353026842,0.609337479275368,0.9564350410574424
20659,0.7860065255740274,0.03169203287131899,0.7184116176324923,0.9116095546195176
78536,0.8056229323389383,0.1454571216897567,0.5965188349091339,0.9809687372184444
28178,0.7818515163816663,0.10422808299241067,0.7535840005068554,0.6549508586223813
39842,0.796026052339088,0.17461918443167335,0.7209962158858747,0.6206298241554264
27139,0.8229390465387828,0.2412002242763182,0.5881103198297445,0.8315207081786532
43247,0.831286254984711,0.26908794924410934,0.5485240107632389,0.9064474812703505
16520,0.8160696112811555,0.30087749708258277,0.6453238932848426,0.620553184246877
7667,0.8130752919883675,0.250637823551841,0.6281623052871613,0.7035419449028812
68894,0.8066101859090831,0.17405247563691076,0.6223267663765125,0.8653346017255972
4611,0.7621474522091827,0.038873169124853585,0.7478717042917521,0.7633651502472308
1095,0.8044082015458885,0.26669206816760305,0.5670155898986667,0.8065075113952148
35370,0.8083783374536783,0.37649474158159946,0.5861261584306482,0.6585901922305326
30245,0.7742533638915485,0.5007436303266042,0.5848083681647626,0.5788787623953162
55630,0.7612414424422317,0.021160285685528163,0.7854858143147202,0.734335248894307
22379,0.8055975171520339,0.3767619264481802,0.6646256783524672,0.5031702197900834
6357,0.7818886192108416,0.46686646211149124,0.5891381085995534,0.5762713765951623
49510,0.7808803579833821,0.09246862301806191,0.7674824505491092,0.6582622558947873
49867,0.8090145386321264,0.40266272533707576,0.5876973502443903,0.63641617872254
68006,0.8057539784941903,0.24987103219688023,0.5417282360034148,0.9034247843446743
41764,0.809591481777979,0.19861756341469644,0.6570302312621286,0.7404204644910056
13308,0.8238011448464221,0.1612625003723841,0.642259742944223,0.8755905996654219
27494,0.8004288628047465,0.2953197258391831,0.6989006220741616,0.5101288275574233
20022,0.7765902436404768,0.48231674636184707,0.6137851671751653,0.5320028401992819
48808,0.8133779715322873,0.2797958861232825,0.7116716780557686,0.5201398310154738
78065,0.8314747880271156,0.24426073190572395,0.5367442204228852,0.9847473558119008
32277,0.8072438635195398,0.3604110422145638,0.6900838664645861,0.47691491615622306
70617,0.8047503055061612,0.2614380433508886,0.7115998243989496,0.5334363428742427
19465,0.8025758949707985,0.07451056989661302,0.7057951747556668,0.8842436441173339
36883,0.7635253562252005,0.010857186345286915,0.8023710971167188,0.7333324039152127
45280,0.7907807041738362,0.48966016470623214,0.6119194934901955,0.5392837062958303
562,0.7970981014962963,0.21364629156504228,0.5332762891580831,0.9878750304717863
