,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
21364,0.8083742490315936,0.39651105313353807,0.4691201513096747,0.9232070013791461
330182,0.7510671178084051,0.5109011687039394,0.4324333667530123,0.926135745314358
24193,0.8000577303750311,0.32341216534337663,0.48536876177124666,0.9566801341091435
52988,0.8021724862125816,0.39528144135382487,0.45799192828813967,0.9621592434522483
230999,0.7705532027337529,0.46671441122230445,0.47533951358997745,0.8304454186632955
249269,0.6815740561662399,0.5944927624307733,0.44011299506544527,0.931999896589588
63697,0.7749836228598762,0.09351391408100623,0.752106892148889,0.6626283509300184
228065,0.7324798929602669,0.5520492312874092,0.4710235832442064,0.8287580412863956
209699,0.6990835656073572,0.5928426845297781,0.4771691221730353,0.8291685743351694
212024,0.6620505102349254,0.6136241316558995,0.4556546451998313,0.9096481739431203
17318,0.7296457757766784,0.5192048155136847,0.4792166248636955,0.7949910112386308
312352,0.7511548234350003,0.018996507741766838,0.8392731447539186,0.6112181772702501
4755,0.6440106246226702,0.5990697301402316,0.43135807686385186,0.9776453306824235
160161,0.785923578276284,0.4019476535757454,0.5543556353034522,0.6811784046443639
100726,0.6981041589195863,0.5998818221611967,0.4919116129363108,0.7959998897969707
57588,0.7794572574302906,0.1394199655940293,0.8055832509784443,0.5007444453630205
107345,0.6583130138471115,0.6014839548180684,0.4759924044161017,0.8511693090040753
105730,0.7474753345030716,0.5493981314972414,0.5103732385748061,0.722810730048384
137803,0.7852759209544872,0.33788365164859735,0.478427870469928,0.9326789720454901
181663,0.6794773297053072,0.6077318762990058,0.5227262886185274,0.730170402249015
410837,0.7595887693246437,0.11298011586857312,0.8487554546148574,0.4347304520873074
85780,0.7955697711033302,0.26797774268528857,0.7323429880420439,0.47587255393682526
415916,0.6694302556891462,0.6217258774963247,0.5140927867263307,0.7637652001736343
110296,0.7387974671793969,0.06278239841915928,0.9057044036896665,0.3942650003741946
388946,0.7916384230719724,0.35467316828119944,0.5636533078646454,0.6951290979213962
294986,0.6525398307502955,0.6146218301684548,0.5147823892787536,0.7642316380584705
413319,0.7884020275107609,0.19833381241554165,0.7884787640635124,0.44970734346749014
229413,0.653437738935184,0.6076038170005895,0.4948860508013955,0.8119356379881004
265653,0.5951177954035664,0.6507582197438563,0.499467770401309,0.8795082429881068
301111,0.7677945292763271,0.07805840319366111,0.7652966536873078,0.6676980025584464
260678,0.6920087409753587,0.5659332607926406,0.4850336079261681,0.7856534800168895
12451,0.7379570011131514,0.4665467450198097,0.41492328934982436,0.975667302809046
31926,0.6839433614872373,0.600659489063241,0.46063259490623,0.8693653841213419
71370,0.731268080814108,0.04130064910754511,0.8718758054862178,0.46757840365173875
208225,0.7410933556224145,0.006744437803194424,0.8576698354719324,0.5712019297332542
74117,0.7622298725910917,0.09255356348916867,0.7470084352703977,0.6536277029574046
80248,0.773938959308207,0.19127982153907638,0.8571311824054186,0.3405795699993339
232698,0.7948147308720992,0.3304379970759536,0.7292365992152928,0.4248185995198034
93312,0.727720375387264,0.5578450456158431,0.4222035924386079,0.9816982775674862
10822,0.7971220632380722,0.19167413100058264,0.7726607629258638,0.49525561530244305
122062,0.7880914769057048,0.4297613118801284,0.4567803361183598,0.8908442299587468
219756,0.7811531513322906,0.13473541794926489,0.7849907833777374,0.5336713826341161
394,0.71176098773204,0.518933680716431,0.44964886897053835,0.8729789963754443
353782,0.5816981627376325,0.6536258833840184,0.4890647930136564,0.9192506821888397
46098,0.7128277016909482,0.5429139345196609,0.511427774231824,0.7160846462181372
851,0.5548677739563226,0.6671099974247677,0.484482818841199,0.9974051351741376
96103,0.7613632928581627,0.48811044926912167,0.41712035173295847,0.9673024424565415
298956,0.7576924439124455,0.15603920188086262,0.8797242164004561,0.32205897674224737
219573,0.7934716834167529,0.32958880624219783,0.700518203462983,0.46138804059668936
39526,0.6619125624613242,0.6094497518859789,0.4802351861783752,0.8303414695333952
219570,0.7757034848583303,0.43275402299597804,0.5484613463220225,0.676541530404069
389573,0.7760984576986454,0.48856482101482096,0.5583750535301497,0.620902568085904
136869,0.7321035097220269,0.5581154025715382,0.4366390512069524,0.905651263866505
271820,0.7665773188866123,0.5243630444447521,0.421863343952291,0.9599956279058027
228027,0.5889624253524224,0.6642535805109685,0.5208025763074285,0.8608104489606041
135231,0.7530603667234951,0.11924052521318737,0.8911581854606114,0.3586633980092809
199554,0.779443835174627,0.1451663035312919,0.8418361377515384,0.4362191307440501
58576,0.8016341595401312,0.42218815846832675,0.5231760051467106,0.7341245607591099
106981,0.5786268758248136,0.6622124179138981,0.4976401124918077,0.9304716091316408
233376,0.7572536502823436,0.46534112327009225,0.5414826960014034,0.6589908001878247
293844,0.7774936326332209,0.4951286563875731,0.5503881710933932,0.6359037309680617
396428,0.7825919116942204,0.32827328892242397,0.5243535481535937,0.8092198569362506
98254,0.6941556302374883,0.5933043073667236,0.5179498665334359,0.742567743186291
67496,0.7628913312462553,0.470735089665971,0.5953206759894143,0.554893636963759
70981,0.7181641256825249,0.05516508895437733,0.9259267114175256,0.334082053470568
307513,0.7651862001485734,0.17081320891142632,0.8286164164267854,0.40247415873066505
10771,0.7691898413704479,0.27120925711703747,0.8853174815253921,0.2162182833231198
265397,0.7797655788600701,0.3543764874449795,0.5244490523147443,0.7746784407635255
147953,0.7838221523703228,0.40253829180662737,0.5713464587887839,0.6322966080183189
316251,0.6974060161716356,0.5878397028372386,0.5294385610029505,0.7129510169253288
399360,0.6652778832479271,0.6311648331279666,0.49086261064018033,0.8247607617506731
84025,0.7541569236487105,0.5477581119380531,0.48578548178436803,0.8000826907221407
298977,0.7634291826201937,0.20771765276719306,0.8825708581831485,0.2767034032403292
151432,0.7141154647066938,0.49700694859150085,0.4244173512061542,0.9305797953127954
387745,0.7996466941700783,0.2543440534484942,0.8199461784188075,0.3560862347409512
8272,0.753444146137946,0.5594170056522788,0.44807181482834,0.8888514639989126
16285,0.6465211417351446,0.6406872189960753,0.5855159995761281,0.6499351374662308
332928,0.8157209964613867,0.41976472056924863,0.45344094418164127,0.9420273919639642
155093,0.7659283414987196,0.47730472237950505,0.6744052943958863,0.4212944566373841
311371,0.7120392280942717,0.0035789985594898172,0.9083702841984964,0.44947575854044336
216001,0.5094033420212918,0.6938859725603967,0.5610944385674842,0.8881830532317139
390111,0.7524811853894817,0.1333474140183911,0.9433671439019438,0.2554089331064251
95775,0.7456541763245716,0.08176574089435393,0.9375497552336478,0.3303567940441761
377609,0.7734494185264494,0.4234297435889093,0.6091411022885868,0.5519502700500357
91155,0.5997431576298657,0.6377039961639992,0.5242754175653788,0.7934645640534402
167925,0.7901516068175889,0.2655563943622496,0.674392392695519,0.577867074518942
186320,0.6520557853483291,0.5749297107330227,0.43883322575685374,0.9402166070180954
147005,0.7784187977698724,0.25167456274697503,0.7886140113165074,0.38891660041500276
316634,0.7446578810748244,0.032281769482472494,0.9222666709821277,0.4356376695595071
236744,0.6394214179527866,0.6043616460528193,0.5083565537445426,0.7815207333644242
117921,0.7901930377619729,0.4316850563068489,0.6256118572841876,0.5178317190004963
75735,0.7484902785833663,0.47647364323935826,0.4797788979643908,0.8140475474727825
100223,0.5554861256961902,0.6968343378723488,0.5212174252870083,0.9467589823820118
220240,0.6014139705312792,0.6760045690221668,0.5260268344806427,0.8392283513458711
89665,0.6976543195264222,0.0009400624787754036,0.9467302981840211,0.36604918478664555
298696,0.7196204026997833,0.5775420138846387,0.6062324084739477,0.5330426889115184
258220,0.7704118728618825,0.1001413888728562,0.8823541894048664,0.42617795064807473
83161,0.7073747777649079,0.6168288940892059,0.49403852290724826,0.7986619611280763
235227,0.6867842304957222,0.5517470364270162,0.42888030644893027,0.9202226411865715
198169,0.7786979845271791,0.3697821910038129,0.4724539041076598,0.9224781634905169
199812,0.5564096297508898,0.6980145546429486,0.5547172147623853,0.8558470312899888
231361,0.48582268535218803,0.7167360834100522,0.5612578321939039,0.9793816877112991
156465,0.8033233091426206,0.21376144372693112,0.7761409268805883,0.4642325788339336
