,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
11436,0.9981760485524208,0.5693624563949036,0.643427771177123,0.7090809392652121
10290,0.9283991205497324,0.4183488463528197,0.7070558329890502,0.6439543215418478
9151,0.9140503647741977,0.5784093365693025,0.9547473841223568,0.1569216845979779
261,0.4709610513851433,0.7389012738061183,0.7666648692289382,0.6029493184009254
10345,0.7066952540094046,0.5369597743315282,0.6342785185076059,0.5795339585053332
205,0.7876935514363334,0.1086202095596448,0.6735169600497241,0.801596938586071
8913,0.8837241485847798,0.4828917327483485,0.8286242788455856,0.2049480906719882
4077,0.886044630769047,0.2064034139784454,0.7817370979968999,0.550576572987389
9059,0.6454609060460389,0.6889318526051289,0.9981205126582732,0.1069444234923081
1100,0.7769177424004134,0.4644714332021692,0.7815535346220762,0.3054301371384096
2882,0.538359286278023,0.7850289794456041,0.7522970821934111,0.6974556620317311
4637,0.8368946057295358,0.0825598562748391,0.8051176781563735,0.8312763752653453
672,0.8888751280429942,0.1728501366077928,0.6628735989828315,0.9594716526184572
2995,0.7742430515266984,0.6809689055262897,0.5796342102660932,0.6167946855266849
8886,0.9525951400484468,0.336793698029413,0.6344710294202102,0.9952388831779934
2225,0.8213590315019208,0.6256966296495216,0.7038449795706941,0.395606319738315
11736,0.7700855587986938,0.7323230179372474,0.8777269752170077,0.3270415574961991
3377,0.3931584878595772,0.7555444429740894,0.8716964464273445,0.6406765799942025
9246,0.7893137191086864,0.8077989889362904,0.9833093821916952,0.1409624411145838
9128,0.9093814663339252,0.5126411031899679,0.5613164333812326,0.8611971847162687
3411,0.8102208314774432,0.4620701401365255,0.626184106227084,0.5998290087874376
9020,0.5435942178725448,0.8409157958773961,0.7488841645166912,0.9434013269725722
11420,0.4619167577391344,0.943445809341386,0.9923950110698264,0.9902173865955196
3854,0.7439549241125523,0.7403124268223789,0.4819999919968531,0.9551932741119138
7169,0.3254336263134133,0.7309485886210062,0.7759521020765549,0.9445890609681926
3978,0.9357551266238396,0.3654453900983692,0.7366163906374971,0.5169664719208208
5797,0.9388668417795344,0.4839702277227223,0.7747431379671218,0.3779499069715316
7510,0.8251932537406416,0.7440084881938683,0.7072017253341712,0.5058205950904867
10104,0.7533840336695404,0.7022042775926595,0.6267763554989136,0.4921947347560852
2053,0.8687656759345022,0.4651984379402437,0.4856132583295234,0.9734422300582928
10527,0.5751357739102234,0.8014182216860394,0.9710681276887174,0.3598138469814936
6499,0.9467457784221512,0.0798004785890018,0.9498712139912224,0.7403973557087383
5434,0.6272450846178813,0.8018461798381223,0.951179961234371,0.1888037415135957
2150,0.7833672185385222,0.6413346040400337,0.9842020035361196,0.0184468490577932
8219,0.6503218543918569,0.8370103817764022,0.6760164663045701,0.8589410384108085
7762,0.926054690394736,0.6433890494124378,0.609697322650862,0.6370550936140307
516,0.5984029611250133,0.7244972766892482,0.8657227824760633,0.2740505772841448
11116,0.4231796340270221,0.7357417455933203,0.7614772185539301,0.8269414997845684
7332,0.9038739887251042,0.275778570228797,0.589375716350963,0.8059721900101856
155,0.8088959353391765,0.5002008110638565,0.5067398164533546,0.7690555571263955
493,0.8427344707726991,0.4335207227612228,0.7140418798334879,0.4325227820157303
5664,0.7018870657116494,0.7870768322660492,0.633194461369424,0.6973808134305552
2523,0.5847601299892399,0.7863624660125068,0.5788341853088307,0.9497119163107394
2626,0.6998499684326926,0.7014383487496301,0.7498946395613336,0.4441697671761149
10817,0.8955650068324699,0.6387824214502809,0.7915602289516189,0.2612876984833003
10162,0.761987468829249,0.04849956760266,0.7479268897027161,0.8885186422125909
8879,0.5289838859304584,0.8784729006084157,0.9660581477682524,0.4905945622631286
6887,0.9518117975726696,0.2002559470490814,0.8839647439194012,0.5905189754025113
2443,0.7267027809366033,0.6927332712879506,0.9262460514188916,0.1580042007411473
3030,0.5930148421695615,0.7802198221183535,0.626525626458675,0.7877329946143069
6273,0.9361870220125004,0.2975257264199225,0.8578017513360646,0.4022201519090544
5623,0.9034313985536938,0.5893019247252884,0.5036034800281075,0.9293602342181312
10933,0.9633020024202849,0.5579972726517146,0.8918769667173772,0.2455028674704702
7777,0.662507618632406,0.8234887327201222,0.8207843860088633,0.527899689434188
9218,0.8441559801103199,0.0275818873403202,0.9817187030385628,0.4592072915614841
513,0.482182471066183,0.721887720249227,0.6045020965691975,0.9267621473271012
958,0.7300445501646932,0.5522561217212324,0.843783260361246,0.2012320092843681
300,0.7630783625367249,0.1059072852091252,0.6124520121732863,0.952026930801707
4455,0.9660457067105774,0.0050767265614627,0.902447429518104,0.9777152986798768
8440,0.3192455273977073,0.8278851339342413,0.8475132842189553,0.909780665347964
1191,0.8331688757115723,0.2164931748347006,0.5683520608622566,0.8992914231273338
2457,0.3041515735854372,0.7750980620988417,0.9550262175701504,0.6997270896092364
11263,0.955487271414317,0.3214930119579902,0.9405173742724804,0.2612223191300595
11309,0.8775618602375745,0.220754742569143,0.9355120232176278,0.4385904503283983
6418,0.8814604859190567,0.6590533273537131,0.6444321331090824,0.5125553995914771
4625,0.4939303666976165,0.7323665828798807,0.988530755998244,0.2355483289917431
432,0.8582654410393472,0.377840185044663,0.5450720065422205,0.77723976577153
444,0.8036566806576189,0.1964789125454587,0.8209759901337607,0.4516099996228296
5824,0.7729069170051591,0.3928990999128004,0.5039195636010597,0.9073705532021006
9076,0.7671136645650539,0.3020807783442404,0.7153473351368737,0.5317435996047627
10370,0.9481299462242572,0.1464917798095205,0.7938270824575658,0.7412672126407062
7270,0.8154535387457285,0.6386263261035603,0.8906891747934509,0.2255271922021411
11789,0.6874346171056798,0.5907600786905277,0.5025365329219231,0.9258523703175832
