,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
0,0.5033730901093252,0.4642092686435742,0.3814170338988172,0.6963485491598793
1,0.4586150078456005,0.4527339267394922,0.2720144974232571,0.8114564257594797
2,0.5713572895080593,0.4745919644909405,0.3677792507858859,0.6361741903872435
3,0.577280373195719,0.479348973429189,0.4404353011354432,0.5953335059486891
4,0.5218337019324231,0.4701288314629642,0.4744298334558728,0.6319494429409818
5,0.4069027549676691,0.4577507859577397,0.4332259671753851,0.7689412884460833
6,0.5430186936130053,0.4707782552704513,0.3238012348167048,0.700612882002588
7,0.5517346454683711,0.4696993137525289,0.500152424339788,0.5865419530484669
8,0.4284167777110303,0.4648246367400562,0.4541150915211651,0.7376733987336324
9,0.4232761735077842,0.4500899043429283,0.4097258959626104,0.7637706007417346
10,0.6131125648575141,0.4724267794212364,0.3202535110613996,0.6473040362877018
1504,0.5649438994621786,0.451847820439583,0.9402580645464512,0.272859220248745
385,0.3880232854883502,0.4145428272391254,0.3837213022769158,0.7421208641835593
1094,0.2613855962950143,0.4294818802506175,0.6795770719876444,0.7956373387272869
106,0.6461190844174299,0.3920174797103714,0.1418576193376792,0.6889647171000259
33,0.454461950828632,0.4117951433612921,0.198713549928508,0.8147454207258086
1420,0.3791639052526498,0.4636224761055826,0.9327692224948764,0.5411925179987824
1839,0.4471807952913391,0.4511158964678513,0.9026433046476044,0.4848123006983897
1556,0.2893167941350983,0.4537722743254549,0.8508149706197452,0.6853091304991772
1577,0.7062764904048341,0.4479275471471639,0.3209892902215582,0.5495414184540742
1538,0.7992052659013591,0.3788527956606827,0.8072650552921982,0.0315374014139066
1167,0.9907732952827504,0.2631041682607567,0.1894280445911038,0.4265000946632983
608,0.6970736573338492,0.4249944436096027,0.5089715157766391,0.3813097738720736
1818,0.1834675840063697,0.439147005737789,0.5022805104776299,0.9619294877395642
1163,0.8971177296602922,0.291849420518377,0.3275728734322252,0.2826544219212012
967,0.0608294476227735,0.3727165675953334,0.9706278011245758,0.8579566008126797
1664,0.2484779636512748,0.3695937285201378,0.574226256122182,0.7853657076678708
