,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
245389,0.7714558819372347,0.46188781174275584,0.015778825799231188,0.7985380389729051,0.7898891954896498,0.9489732768335816
467038,0.7833472998984743,0.3750925548717781,0.31582845791313024,0.7333650403496108,0.4585989561460049,0.6858538883335169
20685,0.8644794988959134,0.167177331259299,0.30479079611947124,0.6383189367620045,0.7104420354065779,0.7641227370339905
464575,0.7989258052947479,0.3294905384983744,0.6765844564158896,0.8320039167454968,0.9364002621935942,0.4260599226609447
158632,0.8581761694420147,0.056549006315428196,0.2640286107108621,0.8172464029088095,0.14422751578704587,0.5085031143747012
351675,0.7683489852634785,0.4389189368990603,0.2172509646495164,0.8923264269624188,0.5843853617927333,0.3911520272552849
209900,0.8113613235860064,0.1349977343361867,0.7439701554746841,0.7520614808716004,0.6722060352837333,0.6455791943740203
468348,0.7002867885023116,0.336221996316965,0.6229030411567231,0.8444648153544245,0.29676796291364516,0.8320806621157754
192407,0.7719487249121094,0.24137556612861352,0.7431435968133356,0.9244697189457414,0.5089877953238452,0.5004499697552244
186031,0.8544287776586563,0.1297110064751598,0.49077163738803764,0.5381900436776366,0.7043255582582096,0.9450189580415045
2107,0.8680437644218139,0.17164180726839856,0.42081941210677515,0.6772627406508229,0.8901744766296386,0.5384207522726883
61987,0.7788978036378646,0.34563866050617875,0.5137346719881436,0.6508632888837774,0.5778175926382799,0.90424755076529
3637,0.8002479605794323,0.3772697292606014,0.5556048973698559,0.9064380042036358,0.7867425131510767,0.27036221270614896
108507,0.736945903649444,0.5807093659165328,0.27389123593082354,0.9118512376397131,0.9486714880744429,0.37825747875723525
148736,0.7765750341737456,0.2819266850920277,0.6365117042729936,0.6871545284517785,0.6997847999036988,0.8110374974421567
363594,0.7939362422861952,0.3406343615719674,0.23605140864635,0.9819686928444975,0.4868638628770019,0.1376029872087646
118017,0.802096295797805,0.440456020346602,0.3393633750584465,0.8699817215702134,0.8709845634346413,0.32624690408046286
476328,0.7439627987608459,0.0824368599170288,0.7993769603760865,0.889085717840182,0.03848238302425499,0.7635175268290486
216210,0.8102016760729125,0.15851591405586554,0.5903663662098567,0.6368984109581398,0.5430923790394335,0.7676171772954937
229726,0.7604554814265159,0.39393859742112436,0.3483885196635779,0.6765590842749337,0.3568549397715023,0.8748455185136867
473131,0.8526898456476492,0.002956398265543611,0.7009866135709503,0.6376483751603499,0.6970763037609413,0.7751056045489149
124301,0.8531534658722463,0.05507050220466298,0.8971752309192195,0.9356621247903123,0.6332964108162438,0.4880620560996741
174084,0.8348991379844753,0.06781144721161274,0.5068922314192382,0.69815812156321,0.2663475430847775,0.6022489822352979
348119,0.8536123550654002,0.06734374272525674,0.25630516440522966,0.8313670707661677,0.19183663808132978,0.43249406933648876
282313,0.7808023355054686,0.14524919924330038,0.754661028623232,0.98882692198026,0.2276203446925542,0.37956333967000255
227789,0.7996262352926066,0.32471153678898373,0.3064326104365437,0.9810578912552058,0.4543822429229738,0.1136015176197808
399402,0.6982284353197196,0.6360372272205849,0.19821650589241563,0.8612690373975253,0.8866465617412663,0.7670684034461496
463487,0.8647465994521859,0.1089443751261779,0.26601932490062274,0.8147730102005182,0.5870449546878371,0.3856095370244424
487019,0.7363585025786619,0.5056768367662605,0.34287837093430695,0.9859933663189121,0.5544961519392659,0.3292436739514525
61710,0.7515298362056689,0.4176339352550887,0.09330271617768864,0.8836506189550787,0.2254140172410051,0.7006737167148028
433582,0.8767260031327306,0.005130382564287457,0.527158158952575,0.9717611111279505,0.21486404634253145,0.14414150995403605
