,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
847,0.7220188601920641,0.1380161573240867,0.8646831022957593,0.9592354526175131,0.5971749583746343,0.8511872753195262
3089,0.739437306411912,0.1167681602476567,0.8543108052029683,0.8011824593392319,0.9988510079911779,0.8809232604570906
2811,0.781242770847823,0.022214507965017467,0.8661008270625654,0.8187214500612778,0.8371288557716009,0.9042350739030799
956,0.7314251975493743,0.24368869802447826,0.8259726071144051,0.814122337646538,0.9551211879679188,0.9682513129721696
387,0.6458650479191995,0.3330220571428077,0.7774660317044897,0.9275948071989117,0.9539840317254282,0.8220220817477206
3256,0.6758765998347471,0.15579028153645505,0.8545735479461379,0.9963433791227148,0.43451667706229824,0.9308815914771287
423,0.7140398721476089,0.407515125787641,0.733356639302843,0.8402196407687174,0.992556256703311,0.8566360680312487
135,0.5821802722498436,0.5301356642204845,0.6336831586559402,0.9906098910302644,0.9542810108758816,0.9064288835707462
1638,0.6720613251385812,0.4965940948758163,0.6812256772673988,0.9624181149824991,0.7878252258165052,0.962501152248074
577,0.7808220202244396,0.2514584260321974,0.7924025629135949,0.912810439607913,0.5729006697710288,0.8185411391934562
2406,0.6566285796860047,0.12071704155415793,0.863191737655051,0.8929583171039,0.8941791034449583,0.9556853081707122
2161,0.7094063051407933,0.12398317355342253,0.8827463889519771,0.9861212570916746,0.613651454295771,0.9424624115084779
2833,0.8459649595066892,0.07954327389900702,0.7935528151731135,0.8072061032555193,0.6283226512739147,0.8895967433722755
667,0.7596462025366494,0.05289555356222444,0.9050728551070323,0.9930465661355542,0.5710316469616877,0.804068825947478
701,0.6210218238483792,0.42357136154585345,0.7261239992738067,0.9352855554382706,0.8284460870935157,0.9765241689391693
1025,0.6514863314284906,0.1898487074836705,0.8319206221866093,0.9813729249480115,0.5657994080587542,0.9225187030576817
2097,0.7261516311947275,0.26789776290881473,0.8355866946229497,0.8757107923447592,0.9159927573341384,0.9087206137284792
2298,0.7344656430307218,0.02218352621233539,0.9354437221456233,0.9561200425225203,0.9928236350577752,0.8963994686486763
2289,0.7931642804772564,0.11212710745236125,0.8708007797743187,0.8752241735701244,0.963352374511849,0.7984595631095536
3255,0.6791639471969716,0.10552061089912133,0.8636944976259695,0.9611508363988641,0.3209369655979968,0.9907372350615269
1117,0.7592236198086659,0.18891324766596254,0.8605810534318555,0.9669537702284756,0.5189798773901467,0.8536655483732691
1596,0.7553354625798976,0.22986863189995865,0.8100579815668457,0.8292453658179962,0.9009906043234152,0.9475281890701766
1147,0.7893096750397062,0.27911253315091566,0.7625157219909879,0.995534452985971,0.26930128248469765,0.8962663248824388
82,0.8302125698725683,0.14465815163035894,0.794131280999144,0.7832360278739017,0.8964471770793748,0.8943759557988442
1706,0.7928996419141421,0.22166368166432565,0.834370770347135,0.968584258437609,0.9137082297950586,0.6121707721166282
3330,0.8216735394429345,0.07787205273290757,0.8630896526047449,0.8596483094820344,0.7668384756772842,0.8946503885004725
2729,0.7100226285743965,0.32914399093980606,0.8257173773772711,0.940540658877262,0.9701971276323073,0.8059789890344882
64,0.819998890196496,0.24924155233681186,0.766487851855106,0.7333519078036839,0.8064370491695737,0.9951209325718205
757,0.8136270929698773,0.33541799295705027,0.7288363872984729,0.9810376886794805,0.27627764156005025,0.9477820641860696
1125,0.6139982160174683,0.2079963868350817,0.8264443482685753,0.9605177240789059,0.9554804614114722,0.8446930197059442
624,0.7475752292628681,0.32884058415460005,0.7855954780624598,0.9841921547948086,0.604199007896861,0.8896378518990873
1746,0.7878591844888023,0.40028898096528237,0.6833490982171333,0.861567920732168,0.8514550147404547,0.8149710722380841
1683,0.8226610468210749,0.3224448199435138,0.7129748404430613,0.961582237889533,0.31073673664175744,0.9301928066258915
620,0.8116502094635898,0.0595015596305256,0.8668121524191412,0.9465275044767631,0.3555778308044027,0.947719056637084
490,0.8395429283115385,0.21389686015533438,0.7850838118368426,0.8741446350402273,0.4808758346754284,0.9792568178555395
2393,0.8252088867313997,0.22404106057698447,0.7692446256827993,0.909439547700765,0.5240105702104932,0.8615525986070679
2259,0.738553167928805,0.13821146488386454,0.8531244127440353,0.9706160664491513,0.707604621889621,0.7916188275285636
1247,0.7071091485701263,0.10869216466430803,0.9038638594262874,0.8896301201086088,0.9327743390313235,0.9319102764368022
1067,0.8453415683397085,0.1296276113359324,0.8266362253614832,0.834698996258692,0.795496989578728,0.9015758101939358
2020,0.8762182569670443,0.2013382785479669,0.735458256716695,0.7860597671018256,0.7040434684856604,0.9194724393693086
818,0.7402189984663757,0.2550851552217269,0.8714205595859689,0.9725076583220081,0.933410395004076,0.8248162687187683
1862,0.7329857053390004,0.009621781239450415,0.8845882449076093,0.9506117643911186,0.5792135771848365,0.8884538589259372
2797,0.7757155922384367,0.26516255814890405,0.7645539409900773,0.7706871635786591,0.9516604691940406,0.9613344313273386
3034,0.7111966419708381,0.39250891665931054,0.7635583163616467,0.8411997219051884,0.8748184927764329,0.9712836906089155
2821,0.7858580004939508,0.4326483975786632,0.7002820183321711,0.8958091105221,0.8127423757260728,0.8235979490186154
2958,0.8663235522718651,0.22257065411441435,0.7530062487979082,0.7837583938179489,0.8705124855497206,0.9040806599107268
2715,0.872585374730891,0.09779382722138107,0.793854498105421,0.903143433999094,0.663521866321019,0.7751482341623833
140,0.787200082142412,0.08079891194804911,0.8947982336005816,0.9162485607128924,0.893377039003558,0.7314067700997288
581,0.8173087847277504,0.13068708229324694,0.81886153058895,0.9943776868207006,0.04549167949214045,0.9930851966057317
1594,0.8359048347244934,0.1411622290656658,0.8318773372552709,0.9910679960789154,0.09251104682185174,0.957943535279054
1851,0.8081561237051321,0.049585650678236955,0.8443611374615402,0.8621546384349874,0.9119439614829176,0.7938803432997463
1850,0.7431973053211182,0.13314427894933914,0.9233632407823037,0.9564325008557435,0.974499563011905,0.9445997163692377
1343,0.6981908037898016,0.16367772357860502,0.8570364711697684,0.8509219839405215,0.9819022187403645,0.8274800216255005
825,0.9034474955549626,0.06470447841982979,0.7366185903466574,0.7933988132478775,0.7679877459817391,0.9485946228106379
3178,0.884712940847983,0.21750748804493641,0.7266224710593852,0.959044695571023,0.20778857808401316,0.9393548605254931
399,0.8095604564425294,0.10312434517375592,0.8930260979314896,0.9871049449601114,0.6462316302525912,0.8027810863379168
2038,0.90728924395066,0.11693046502276522,0.7081045372728455,0.8336853001058983,0.5635138766746253,0.9869456525144872
2887,0.8364007237501205,0.14271378329361864,0.8397979076172443,0.860211416340592,0.6549683157760731,0.8912721850698766
2023,0.7879227622682171,0.03191373856648303,0.8861454466077808,0.8860620488468693,0.7095075657201803,0.9968167002568419
867,0.6809052315277581,0.05735587078135342,0.850651019456689,0.8658663371652682,0.7644722491694231,0.9464279811159171
2775,0.7361648136993358,0.503986804628905,0.5990708893126464,0.8065377773473101,0.9610685385904629,0.9656966875581053
1740,0.9259862944157934,0.1219267059300456,0.684774711701255,0.8857453935684915,0.3337435410257396,0.970470414559211
2145,0.8713043452096473,0.2575813248239578,0.672819137199226,0.7791349061028818,0.9810758671246225,0.8364300877483434
2815,0.8559520633071181,0.1312106068691073,0.7671679378918431,0.8393357363688174,0.5194566157246453,0.9802466592810283
2869,0.8454717727690518,0.358281164960295,0.6900471362394384,0.8117130084728588,0.9902659020280724,0.838595319790965
329,0.7863911202946817,0.30877999051940913,0.7996907250964433,0.9364893318196864,0.37557711588804676,0.998929763634477
600,0.8579293279827042,0.19008958255834488,0.7962488951069563,0.9641497486367506,0.28468089198015445,0.8709741062522206
2510,0.875490483067113,0.293129341090301,0.6987362843214294,0.8882761561354884,0.8968559997094646,0.7061226490591181
1024,0.7384521968997492,0.08296381512291218,0.8835180116916594,0.805298210948693,0.7888174832832224,0.9898931360748665
1337,0.9211262292418451,0.22097711665623818,0.6403465085482917,0.7994573588810151,0.92590082486138,0.9385847867559051
2748,0.7062100999875602,0.6215771072923204,0.5652176906383517,0.9765942391497121,0.9360396179608514,0.8712322118740764
704,0.9019999460813547,0.2372017604097412,0.6917916139132385,0.8898092995978395,0.7694955190791848,0.7510900883832713
622,0.8454685339507847,0.2773144516409385,0.7172494854904541,0.8444842206783544,0.8353349001499518,0.8300183881653214
109,0.7894537318866336,0.46865316255112044,0.6785613122885543,0.9783987101240598,0.5540512817577004,0.9781379875258337
2656,0.9558872872904483,0.1251369945215045,0.6145388318076082,0.867505842680047,0.8822692393819918,0.8909095754490564
1370,0.7870749168520523,0.34396301863826406,0.7986465990790202,0.8947057739663301,0.8922373797118026,0.8387672558453848
3047,0.7278311061973314,0.17386590355414297,0.8847813046346164,0.9365564629421749,0.8962969086307024,0.7538730146265294
2704,0.7115877625804496,0.5740688234132442,0.6038482280100264,0.9639507412148,0.8683178281850655,0.9434511467711697
719,0.934539838925291,0.21343000076623825,0.6256394751133633,0.8818332309678604,0.7463026294707916,0.8884598246953983
1940,0.7576063492977871,0.004212571993259287,0.9101579292845563,0.8856459735348364,0.617309718865998,0.8911399085395293
2318,0.859683701955121,0.17321576777320705,0.8253293353872788,0.8443949700446828,0.9534188602915947,0.8509589861891934
1118,0.8621459806703956,0.13740626026570726,0.77450675255967,0.9447358522237419,0.5008861773960911,0.8013211379648956
1888,0.8897668005436948,0.41754048942813793,0.5047995504331209,0.8678641136981926,0.9157855234522855,0.8818959255479142
1062,0.7374831787667714,0.33993360209442053,0.7240295306370456,0.8851817476386846,0.6083815300939069,0.9896266722901812
13,0.7788233412191754,0.0738106110659174,0.8952316671786315,0.9766475239603445,0.6736403934688764,0.9060932507593149
2647,0.9085699484020106,0.06448917544890077,0.7288601057749197,0.8373206440235603,0.6886659641872127,0.9319783699375858
998,0.8541720909967531,0.2635162559767323,0.7827437131689832,0.8960246076723056,0.9950158789873496,0.7101310674888422
28,0.8890221540474378,0.07708311143590339,0.822822617441873,0.8847413254897337,0.7755978169059956,0.8723654144060957
2722,0.6554080590819021,0.08826601156035785,0.8719485323381547,0.9497671126831466,0.44100940313367915,0.9731986958923571
303,0.8915761486650783,0.014239759564607804,0.7532560869663879,0.9681116708799844,0.3564597729409922,0.7703216128760593
2737,0.8081888840734051,0.2953170385405709,0.6965896867213033,0.7636676390263581,0.8308517115044738,0.9644466043414839
2631,0.8770082450616175,0.06471690088850025,0.8310301999194004,0.8693172221703428,0.7309291260523494,0.7881632354343426
1369,0.8004280068510916,0.16762421608180794,0.8423406663414035,0.9375186163067437,0.5861373614059701,0.9520080971774402
909,0.8035028109041851,0.1456481131582966,0.8598397271352285,0.9881759026074117,0.8958075492895893,0.6935498722417864
2838,0.9122479958378547,0.1842459267779573,0.7068590685510862,0.9773602903398836,0.3921693459723441,0.8732120733934996
1122,0.8256376193957199,0.528032301121801,0.5279660831743664,0.9745214327552034,0.6415360376807393,0.943458656806717
2394,0.9079761841145423,0.14919099027186508,0.7441722202452915,0.9979128406888966,0.33687239714178485,0.8477843965493965
2672,0.7725971696536532,0.5725931502540068,0.5078920912890421,0.8223240968299637,0.9974229253402443,0.9983383267456395
2252,0.8288750037446732,0.19461304545885724,0.8564308831344656,0.9045474996746085,0.8460801015406213,0.9072725750524767
2726,0.9464573439604891,0.19892587434548423,0.6315856808980899,0.8660736627031328,0.8871989452204868,0.9107601935353907
2824,0.8071956423110507,0.008285795660989777,0.8763538192827481,0.9430563348376296,0.1897771571174266,0.8213183558004886
2666,0.8736751126847272,0.10005195232638438,0.7463708214339686,0.9714288548191259,0.3024097463704121,0.8054614364879612
