,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
185,0.6720613251385812,0.4965940948758163,0.6812256772673988,0.9624181149824992,0.7878252258165052,0.962501152248074
220,0.7094063051407933,0.1239831735534225,0.8827463889519771,0.9861212570916746,0.613651454295771,0.942462411508478
263,0.739437306411912,0.1167681602476567,0.8543108052029683,0.8011824593392319,0.998851007991178,0.8809232604570906
247,0.7314251975493743,0.2436886980244782,0.8259726071144051,0.814122337646538,0.9551211879679188,0.9682513129721696
316,0.781242770847823,0.0222145079650174,0.8661008270625654,0.8187214500612778,0.8371288557716009,0.90423507390308
223,0.711219615176734,0.1542867357884833,0.8216793325280269,0.8533134019861947,0.7749001083983518,0.8505751728952179
172,0.6566285796860047,0.1207170415541579,0.863191737655051,0.8929583171039,0.8941791034449583,0.9556853081707122
280,0.753423797027729,0.1346837110893827,0.8190127091409644,0.9560775777640784,0.6401794901403506,0.6398557186509644
189,0.6758765998347471,0.155790281536455,0.8545735479461379,0.9963433791227148,0.4345166770622982,0.9308815914771288
380,0.816840620961995,0.0098455026619952,0.8204016907704188,0.7956497599704953,0.9667992817496518,0.770465892504736
230,0.7140398721476089,0.407515125787641,0.733356639302843,0.8402196407687174,0.992556256703311,0.8566360680312487
147,0.630927748480743,0.6125923815104193,0.4967987553331207,0.8743758490864743,0.968416395634994,0.8850549964475722
314,0.7808220202244396,0.2514584260321974,0.7924025629135949,0.912810439607913,0.5729006697710288,0.8185411391934562
