,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
6971,0.5700290809859878,0.8080803474902873,0.9495389272294124,0.3681993808198937
12,0.7370701090374168,0.6154659072947276,0.6451115709575662,0.681830552836741
517,0.6707244119156858,0.712417921339244,0.9835133725516292,0.2768100457600991
21350,0.3962990013792555,0.911011006992366,0.6553112924929516,0.9355477024268464
629,0.5975159428923088,0.7519563398749257,0.5657847777493815,0.8216658820340753
8669,0.5636256021008235,0.7917827890049655,0.6320378323271149,0.7193109328916324
5500,0.5776256886284729,0.7836100168000673,0.7942041414469089,0.510914962594553
2482,0.4352059617860663,0.7932540088292549,0.7756800383520893,0.7365714908893366
162,0.4740689119426252,0.7876697107011995,0.6461224690105499,0.8386669390632289
70,0.6804033503053314,0.6849791743065209,0.5854780384366083,0.7720505764415463
1007,0.3970808666375995,0.8420503586122949,0.9404007433052642,0.5907301149201538
20030,0.5385730519646298,0.8644508388735416,0.6964076318903233,0.6704468998130001
562,0.4466838095410826,0.8260148161150184,0.9901793878531192,0.4684686171850088
552,0.6083266908807416,0.703286325616226,0.890284805592301,0.3903744047573831
178,0.7114684779445152,0.6630767032028997,0.4772890019302626,0.9453439228744248
10960,0.6581645683648407,0.762797386618466,0.6979646350027042,0.5712428316350171
19,0.6598050355158165,0.6842905435647961,0.801707159811258,0.4652432541282711
607,0.5225775851887727,0.7525081109000881,0.7595749604036235,0.6057538461761216
884,0.747319754117248,0.6018844963075952,0.5506403537633052,0.8522852593255418
16834,0.4036611055870716,0.8859634752745434,0.8490690977507365,0.681512222487406
2195,0.5299623014940962,0.7967865921639026,0.5386963897614572,0.9389080544512688
169,0.7096769362610155,0.6514187940602278,0.7272638280711589,0.5506298988400427
14818,0.5277812856819107,0.8569931338198888,0.900988518044745,0.4815511015837595
19388,0.39140481428682,0.8979274173082147,0.7693263164863317,0.7955089679314526
16082,0.5941588193096652,0.5939567421208205,0.8369454234170621,0.5039770355765679
